year_month,n_obs,const,gamma_beta,gamma_size,gamma_beme,r_squared
2021-08,680,-0.25414558921131125,0.02305973871793438,0.007389139122695368,0.00774866952884227,0.02043955346866022
2021-09,680,0.3520718273173932,-0.04159916825982174,-0.011377493132604584,-0.009158366361023924,0.01498514430043485
2021-10,680,0.3457876879972883,-0.035846233191186044,-0.012393649743606395,-0.004287325759344094,0.017997209020266025
2021-11,680,-0.26472081411801995,-0.04716191766851081,0.00723330343152269,-0.008492100693205619,0.015903545873826808
2021-12,679,0.47971076058394807,0.05451807233245721,-0.01613987128600403,-0.004346810782393991,0.06439954651807234
2022-01,679,0.0034695037325911185,-0.04871656268249985,-0.0027878160531757067,0.019952626400095878,0.06630128882881337
2022-02,678,-0.06954761695355546,-0.0025649741697362665,0.004293012734313531,0.005360119190869528,0.00351293569595712
2022-03,677,0.3087486831267465,0.0691939887493418,-0.0122398367156822,0.005308852251692214,0.09686865708645365
2022-04,675,0.20148548732271374,-0.02298292464836325,-0.006858185995421427,0.014625124417338793,0.01563543807975576
2022-05,674,0.7834462012584993,-0.03280025428038985,-0.030136822054604263,0.07188985017728028,0.006561217363933447
2022-06,674,-0.41335936983977195,-0.05430445711052657,0.011622671568805866,0.01082248210369985,0.08068899057723133
2022-07,674,0.15321367681040282,0.04968557868149847,-0.006109618136479571,-0.0021472988337362144,0.04827319619207515
2022-08,690,-0.010479183818691697,-0.01539612836508235,0.0015377893836559158,0.004349066771455857,0.0036265199226923617
2022-09,690,0.01734840288563884,-0.11796664457395138,-0.0019337552810319149,0.002722091099683033,0.17614111262159637
2022-10,690,0.004519200134496405,0.0012129565421068183,-8.57793173995717e-06,0.008476563283691148,0.00399300543883796
2022-11,690,-0.05287217633130575,0.09648325354435774,0.001011321688515095,0.01496671133041465,0.06109714616741291
2022-12,690,0.23753643320090362,0.04017350943307766,-0.013916494884871445,0.03968838376058132,0.006804883607583245
2023-01,690,0.13098702581367627,0.07557040965255411,-0.005327579531411554,0.0009598863166605016,0.048205389215238426
2023-02,690,-0.0403184627410577,0.012124915337226596,0.0007322725704293461,0.00442059016050894,0.003242941772275132
2023-03,690,-0.10254012508397738,-0.008359575118610216,0.005634149693822921,-0.025946322093920126,0.028819483728070527
2023-04,690,0.3001672513978519,-0.00021902535351444962,-0.010672229915549636,-0.009751056623905628,0.00984784612166667
2023-05,689,0.7785867360777252,-0.007326919956445363,-0.025140602132136022,-0.036743427657780645,0.005520123252105269
2023-06,688,0.03756579040354671,0.014076531799168897,-0.00145010656357757,-0.00434395636109769,0.0029515900774749193
2023-07,687,-0.5793028628464885,0.005967141352067554,0.02122184421031676,-0.009305069943494582,0.03803542161440654
2023-08,697,0.30582114806179006,-0.04305200399097482,-0.010367404056756685,0.015669505757234345,0.02617719978513211
2023-09,696,0.24855804145416632,-0.040196590663149796,-0.010081305626016824,0.019328775857336652,0.004552821645687377
