year_month,n_obs,const,gamma_beta,gamma_size,gamma_beme,r_squared
2021-08,680,-0.26031852106298126,0.013645681750402235,0.007922958964475403,0.007078583083524008,0.017557974981934454
2021-09,680,0.3251088206415081,-0.08583994373398925,-0.008981594826201056,-0.011003450565509582,0.03323281067582318
2021-10,680,0.3552136653336746,-0.022295610499203866,-0.013165400409586574,-0.0036695240384002105,0.016085696165378027
2021-11,680,-0.26528690218865325,-0.038551930634654064,0.006939479431705439,-0.007072206205382441,0.01338124865321011
2021-12,679,0.47946580703535924,0.04769925478926927,-0.015894395955250218,-0.004580829211110839,0.06145152654715236
2022-01,679,0.005649218388050058,-0.04161186784254561,-0.0030945254420559386,0.019479388684567986,0.06161348039214909
2022-02,678,-0.06747634214735966,-0.0037737644373110842,0.004268084893166344,0.005143287600944098,0.003552591965820806
2022-03,677,0.30859806775139403,0.07001749385058248,-0.012246010374603048,0.0049063356085967715,0.10200940469981623
2022-04,675,0.20859158294586289,-0.02523448466940036,-0.00699699955301293,0.013516824149834706,0.016034527662662
2022-05,674,0.8017917058380494,-0.03175960049686401,-0.030674674312717864,0.0666485053054629,0.006321472656409144
2022-06,674,-0.4519086980255206,-0.03486719108325701,0.012238712522986783,0.012631702426718558,0.06626264211753219
2022-07,674,0.17985191233539297,0.038613494009874114,-0.006630521032668212,-0.002809195644497022,0.04001941546768428
2022-08,690,-0.023073447776804284,-0.009057717874277952,0.0017486608334826097,0.004493707095284066,0.0024379449817074628
2022-09,690,-0.025844877635871157,-0.09846522274180611,-0.00114870840568726,0.00422682346180421,0.14867352053780603
2022-10,690,-0.01315890297007732,0.004276028867507353,0.00043043376216822917,0.010435421921622544,0.006290122188395086
2022-11,690,-0.02155331847072579,0.08707740505762308,0.00030012077357030847,0.013252685253512623,0.05784954017865229
2022-12,690,0.26490319789454586,0.03809782193719443,-0.014667739641838764,0.035305441454295594,0.006452214864154704
2023-01,690,0.15057342823861303,0.06196252437385754,-0.005565957547248953,0.0015144865019208228,0.03871192612756613
2023-02,690,-0.03254360856512096,0.010757965708142206,0.0005355037506303298,0.003496689494775624,0.0027481003622493727
2023-03,690,-0.08512017879531407,-0.034642234727578866,0.005878829844166031,-0.02508176917871507,0.03411721473741314
2023-04,690,0.31581683611618666,-0.01673185214283894,-0.010669461595937915,-0.009588826562952624,0.011090937279962243
2023-05,689,0.7291780051470661,0.011762009278992597,-0.02420700121748163,-0.0315189381335995,0.005244775285140446
2023-06,688,0.04287538391577396,0.010236651407370729,-0.0015029541530303782,-0.004443915902987712,0.0023490389314471116
2023-07,687,-0.5832250560149784,0.0070607146955452135,0.021297072231225983,-0.008502000796936566,0.037950479353904165
2023-08,697,0.3081871801352234,-0.041486694597137774,-0.010456875433832596,0.014653232212486352,0.02579018348586759
2023-09,696,0.250990141735535,-0.0328872368975016,-0.010360124258565756,0.018275607162965377,0.0042500017510138655
2023-10,696,0.5238925133875608,0.07426311124966654,-0.024841488503715436,0.025617223595930376,0.0077845203338414715
2023-11,696,-0.2010235600385898,0.04196751513001063,0.00928687110412853,-3.055299715653062e-05,0.04905147067521343
2023-12,695,-0.1353625316292475,0.0029042354778921965,0.0056586189976501455,-0.0025406923629018403,0.006640275303171572
2024-01,695,0.10069740545399844,0.04552836757612948,-0.007740369137945707,0.027673012305567374,0.10383953706758475
2024-02,694,-0.23993844632515127,-0.028463661317150377,0.01009041413440543,0.01277919342496751,0.020288988040474965
2024-03,693,0.0031566174637715446,0.011185717927052577,0.0006758610217491438,-0.011666921569703444,0.017519813404723195
2024-04,693,-0.0942513219561667,0.0036047666506458793,0.0031396999764131423,0.013159327966510035,0.002452143684433805
2024-05,693,0.15889089791147096,0.010205746775491725,-0.005794010789779279,0.00042023965002728974,0.002886169816723183
2024-06,692,-0.2581265371487713,-0.004683980041946189,0.0100453739433865,0.0010270004055009025,0.01555926808567365
2024-07,692,0.0025420323874404335,-0.020286804742607727,-0.0013290342559072405,0.013745190805106241,0.03213987539397323
2024-08,701,-0.21292583519703406,-0.007561659271142733,0.006661139440235044,0.0037100442500433354,0.012892198772584074
2024-09,701,0.08892861045878436,-0.006437576551087431,-0.0029504987186540067,-0.002126579208670634,0.0017300612962370954
2024-10,701,0.4217623473142539,-0.05137882753423161,-0.013893436133967011,-0.010180560961325674,0.007445765626634682
2024-11,700,0.8777561849638046,-0.2920200534321089,-0.024466125389135198,-0.004749272671417899,0.005415061007424171
2024-12,700,0.4146694304369589,0.005117993598133535,-0.01517042728718897,-0.009464582553400117,0.022434135454374338
2025-01,699,-0.2001614947360244,0.019012465786648794,0.007948565348726186,0.0014105605621857436,0.030876623626062805
2025-02,699,-0.11333017250457779,0.006138818759230916,0.004127134679126708,0.008197043381420039,0.022219040701991766
2025-03,698,0.4149009678740316,-0.005532568016179211,-0.01690056074629849,0.003151019957688557,0.0029273446522003477
2025-04,698,0.32195109118475684,0.008385592288534485,-0.009831292343152274,-0.0004646344837021934,0.01440824940203389
2025-05,697,-0.36823164078071685,0.042725166650705866,0.01229352577159857,0.03388700475549327,0.0647379984002745
2025-06,696,-0.5466647467980934,0.014068156448799211,0.02250654856153797,-0.002405894288126104,0.089024344169509
2025-07,696,0.23065489168079226,0.02110050374871929,-0.008050429756272886,0.0018367490443846359,0.0011025165499275458
2025-08,711,0.02697119470225504,0.001910646387996007,-0.0014056404728732604,-0.007290516690453264,0.006158565985475817
2025-09,711,0.01684621308161947,0.009002100196950408,-0.0001656687248951986,-0.005505858459416742,0.004176813070882246
