재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DerivativeFinancialAssets	         파생상품자산	2,569,648,330	5,465,400,318	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinanceLeaseReceivables	         리스채권	456,009,147,762	434,546,084,013	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	5,947,037,366,851	5,498,831,024,488	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_DueFromBanksAtAmortisedCost	            상각후원가측정예치금	4,664,000	4,664,000	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_LoansAtAmortisedCost	            상각후원가측정대출채권	5,817,993,425,420	5,384,323,920,281	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_OtherFinancialAssetsAtAmortisedCost	            상각후원가측정기타금융자산	129,039,277,431	114,502,440,207	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	14,837,963,527	14,743,939,476	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         종속기업 및 관계기업투자주식	243,098,815,304	236,493,805,304	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	50,915,900,404	44,394,538,129	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	28,378,169,515	25,027,286,814	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	            기타자본구성요소	-5,617,237,778	-4,707,471,839	
