재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	602,231,056,873	463,338,933,471	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Assets	         자산총계	9,731,638,641,289	7,871,638,682,390	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	45,094,167,956	33,636,414,329	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DerivativeFinancialAssets	         파생상품자산	122,025,473,240	215,028,274,323	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	1,784,953,004,230	793,711,882,418	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	841,555,212,404	1,187,025,366,990	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	6,245,971,417,905	5,099,124,102,535	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	5,518,911,910	6,271,508,540	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         종속기업, 공동기업과 관계기업에 대한 투자자산	57,492,280,540	49,052,332,838	
 재무상태표, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타비금융자산	15,295,637,169	10,055,058,347	
