종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스","4660","35","0.76","485","9.61","372","12.53","9902","0.47","270","5.79"
"006840","AK홀딩스","8710","-140","-1.58",,,,,"40295","0.22","400","4.59"
"027410","BGF","3920","25","0.64","963","4.07","637","6.15","18202","0.22","130","3.32"
"282330","BGF리테일","104800","-1100","-1.04","11301","9.27","11499","9.11","68546","1.53","4100","3.91"
"138930","BNK금융지주","15870","-170","-1.06","2174","7.30","2683","5.91","33604","0.47","650","4.10"
"001460","BYC","42100","200","0.48","2205","19.09",,,"66074","0.64","350","0.83"
"001465","BYC우","24450","-150","-0.61",,,,,,,"355","1.45"
"001040","CJ","172000","800","0.47","2993","57.47","14559","11.81","162804","1.06","3000","1.74"
"079160","CJ CGV","5950","-50","-0.83",,,,,"4177","1.42","0","0.00"
"00104K","CJ4우(전환)","152500","-300","-0.20",,,,,,,"3050","2.00"
"000120","CJ대한통운","94600","1400","1.50","12088","7.83","12788","7.40","197983","0.48","800","0.85"
"011150","CJ씨푸드","2855","-45","-1.55","139","20.54",,,"2315","1.23","0","0.00"
"011155","CJ씨푸드1우","16400","-900","-5.20",,,,,,,"0","0.00"
"001045","CJ우","89300","500","0.56",,,,,,,"3050","3.42"
"097950","CJ제일제당","208000","-1500","-0.72","9244","22.50","28542","7.29","490755","0.42","6000","2.88"
"097955","CJ제일제당 우","138000","300","0.22",,,,,,,"6050","4.38"
"000480","CR홀딩스","4835","-35","-0.72",,,,,"14790","0.33","410","8.48"
"000590","CS홀딩스","77500","100","0.13","29452","2.63",,,"305543","0.25","500","0.65"
"012030","DB","1474","-1","-0.07","486","3.03",,,"2060","0.72","0","0.00"
"005830","DB손해보험","131100","2100","1.63","30838","4.25","24810","5.28","154832","0.85","6800","5.19"
"016610","DB증권","10850","150","1.40","1233","8.80",,,"25569","0.42","400","3.69"
"000990","DB하이텍","67600","500","0.75","5520","12.25","7538","8.97","47181","1.43","1230","1.82"
"000300","DH오토넥스","1984","0","0.00","5650","0.35",,,"426","4.66","0","0.00"
"001530","DI동일","19650","-50","-0.25","74","265.54",,,"26524","0.74","250","1.27"
"015590","DKME","515","0","0.00","10","51.50",,,"535","0.96","0","0.00"
"000210","DL","37650","100","0.27","3948","9.54","8416","4.47","181662","0.21","1000","2.66"
"000215","DL우","23550","-250","-1.05",,,,,,,"1050","4.46"
"375500","DL이앤씨","41150","0","0.00","5413","7.60","8365","4.92","114139","0.36","540","1.31"
"37550L","DL이앤씨2우(전환)","30500","150","0.49",,,,,,,"540","1.77"
"37550K","DL이앤씨우","21700","0","0.00",,,,,,,"590","2.72"
"007340","DN오토모티브","24400","250","1.04","6222","3.92","5008","4.87","33645","0.73","1000","4.10"
"004840","DRB동일","4955","-25","-0.50","491","10.09",,,"20777","0.24","100","2.02"
"155660","DSR","3905","125","3.31","907","4.31",,,"14456","0.27","70","1.79"
"069730","DSR제강","3840","25","0.66",,,,,"11477","0.33","100","2.60"
"017860","DS단석","18170","-100","-0.55",,,,,"15787","1.15","0","0.00"
"092780","DYP","3320","45","1.37","672","4.94",,,"10894","0.30","80","2.41"
"017940","E1","83300","400","0.48","10873","7.66","20539","4.06","287645","0.29","3450","4.14"
"383220","F&F","68500","-1500","-2.14","9504","7.21","11166","6.13","41565","1.65","1700","2.48"
"007700","F&F홀딩스","18690","-410","-2.15","2738","6.83",,,"56520","0.33","450","2.41"
"114090","GKL","14970","340","2.32","534","28.03","1102","13.58","6686","2.24","282","1.88"
"078930","GS","56300","2300","4.26","5988","9.40","8103","6.95","148685","0.38","2700","4.80"
"006360","GS건설","19700","390","2.02","2893","6.81","3609","5.46","51998","0.38","300","1.52"
"001250","GS글로벌","2315","-15","-0.64","657","3.52",,,"6449","0.36","25","1.08"
"007070","GS리테일","20100","-50","-0.25","25","804.00","2184","9.20","38375","0.52","500","2.49"
"078935","GS우","48100","450","0.94",,,,,,,"2750","5.72"
"499790","GS피앤엘","42000","200","0.48",,,"2889","14.54","42282","0.99","0","0.00"
"012630","HDC","18710","1150","6.55","2903","6.45","5700","3.28","52784","0.35","350","1.87"
"039570","HDC랩스","8440","10","0.12","826","10.22","1002","8.43","11586","0.73","450","5.33"
"089470","HDC현대EP","4290","35","0.82","709","6.05",,,"12861","0.33","140","3.26"
"294870","HDC현대산업개발","21900","1200","5.80","2427","9.02","5196","4.21","48537","0.45","700","3.20"
"009540","HD한국조선해양","407000","-3500","-0.85","16578","24.55","47628","8.55","156961","2.59","5100","1.25"
"267250","HD현대","188500","-500","-0.26","7203","26.17","18824","10.01","122761","1.54","3600","1.91"
"267270","HD현대건설기계","98400","-6100","-5.84","5595","17.59","10191","9.66","93865","1.05","500","0.51"
"443060","HD현대마린솔루션","193500","-2500","-1.28","5304","36.48","8040","24.07","17402","11.12","3150","1.63"
"071970","HD현대마린엔진","89500","-1700","-1.86","2459","36.40","3061","29.24","9120","9.81","0","0.00"
