종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스","4305","-115","-2.60","367","11.73","1058","4.07","9326","0.46","270","6.27"
"006840","AK홀딩스","9640","-1330","-12.12","2635","3.66",,,"44339","0.22","200","2.07"
"027410","BGF","3450","-15","-0.43","813","4.24","690","5.00","17286","0.20","120","3.48"
"282330","BGF리테일","102500","-100","-0.10","11337","9.04","12019","8.53","62197","1.65","4100","4.00"
"138930","BNK금융지주","10340","-80","-0.77","1905","5.43","2614","3.96","31746","0.33","510","4.93"
"001460","BYC","29500","150","0.51","2836","10.40",,,"64090","0.46","300","1.02"
"001465","BYC우","12960","50","0.39",,,,,,,"305","2.35"
"001040","CJ","99100","-2200","-2.17","5806","17.07","11973","8.28","164443","0.60","3000","3.03"
"079160","CJ CGV","5290","-80","-1.49",,,"173","30.59","3441","1.54","0","0.00"
"00104K","CJ4우(전환)","78500","-1000","-1.26",,,,,,,"3050","3.89"
"000120","CJ대한통운","84400","-1300","-1.52","10357","8.15","12804","6.59","180690","0.47","500","0.59"
"011150","CJ씨푸드","2905","75","2.65","123","23.62",,,"2160","1.34","0","0.00"
"011155","CJ씨푸드1우","18970","-40","-0.21",,,,,,,"0","0.00"
"001045","CJ우","57400","-200","-0.35",,,,,,,"3050","5.31"
"097950","CJ제일제당","255500","0","0.00","24081","10.61","35976","7.10","446325","0.57","5500","2.15"
"097955","CJ제일제당 우","126800","-400","-0.31",,,,,,,"5550","4.38"
"000480","CR홀딩스","5700","-10","-0.18","14","407.14",,,"14318","0.40","410","7.19"
"000590","CS홀딩스","68900","-300","-0.43","15091","4.57",,,"264028","0.26","500","0.73"
"012030","DB","1304","-11","-0.84","106","12.30",,,"2067","0.63","0","0.00"
"016610","DB금융투자","5170","-30","-0.58","151","34.24",,,"24561","0.21","200","3.87"
"005830","DB손해보험","102800","-1300","-1.25","28955","3.55","30113","3.41","170486","0.60","5300","5.16"
"000990","DB하이텍","33150","1450","4.57","6241","5.31","5954","5.57","41655","0.80","580","1.75"
"139130","DGB금융지주","8180","-140","-1.68","2180","3.75","2573","3.18","35751","0.23","550","6.72"
"001530","DI동일","49200","250","0.51","157","313.38","810","60.76","28841","1.71","250","0.51"
"000210","DL","31600","-500","-1.56",,,"3931","8.04","169901","0.19","1000","3.16"
"000215","DL우","19900","-250","-1.24",,,,,,,"1050","5.28"
"375500","DL이앤씨","32150","350","1.10","4679","6.87","7136","4.51","118750","0.27","500","1.56"
"37550L","DL이앤씨2우(전환)","21200","200","0.95",,,,,,,"500","2.36"
"37550K","DL이앤씨우","15950","60","0.38",,,,,,,"550","3.45"
"007340","DN오토모티브","18330","80","0.44","6386","2.87",,,"26478","0.69","600","3.27"
"004840","DRB동일","4065","45","1.12","798","5.09",,,"19664","0.21","100","2.46"
"155660","DSR","3815","110","2.97","1093","3.49",,,"13467","0.28","60","1.57"
"069730","DSR제강","3610","80","2.27","899","4.02",,,"13555","0.27","60","1.66"
"017860","DS단석","30450","650","2.18","2656","11.46",,,"15779","1.93","0","0.00"
"017940","E1","68700","0","0.00","36872","1.86",,,"280943","0.24","5150","7.50"
"383220","F&F","54300","700","1.31","11144","4.87","9982","5.44","33834","1.60","1700","3.13"
"007700","F&F홀딩스","12060","60","0.50","3130","3.85",,,"54668","0.22","400","3.32"
"114090","GKL","11040","-10","-0.09","709","15.57","946","11.66","6658","1.66","353","3.20"
"078930","GS","39300","-550","-1.38","13737","2.86","12597","3.12","142065","0.28","2500","6.36"
"006360","GS건설","17350","-170","-0.97",,,"3512","4.94","50825","0.34","0","0.00"
"001250","GS글로벌","2675","40","1.52","337","7.94",,,"5113","0.52","25","0.93"
"007070","GS리테일","16500","-280","-1.67","173","95.38","1849","8.92","39235","0.42","500","3.03"
"078935","GS우","36850","-300","-0.81",,,,,,,"2550","6.92"
"499790","GS피앤엘","22200","100","0.45",,,,,,,"0","0.00"
"012630","HDC","11910","-90","-0.75","2147","5.55",,,"49804","0.24","300","2.52"
"039570","HDC랩스","8610","-60","-0.69","573","15.03","424","20.32","11253","0.77","450","5.23"
"089470","HDC현대EP","3545","-10","-0.28","759","4.67",,,"11685","0.30","140","3.95"
"294870","HDC현대산업개발","18050","70","0.39","2678","6.74","4597","3.93","46876","0.39","700","3.88"
"009540","HD한국조선해양","228000","-3000","-1.30","3135","72.73","23428","9.73","140052","1.63","0","0.00"
"267250","HD현대","79200","-1000","-1.25","3743","21.16","15533","5.10","103689","0.76","3700","4.67"
"267270","HD현대건설기계","58300","-300","-0.51","7659","7.61","7526","7.75","86604","0.67","700","1.20"
"443060","HD현대마린솔루션","161400","400","0.25","3778","42.72","6857","23.54","5999","26.90","2500","1.55"
"071970","HD현대마린엔진","24450","-50","-0.20","1108","22.07","1092","22.39","7893","3.10","0","0.00"
"010620","HD현대미포","134200","-800","-0.59",,,"6384","21.02","49396","2.72","0","0.00"
"322000","HD현대에너지솔루션","20200","310","1.56",,,"1000","20.20","33175","0.61","0","0.00"
"042670","HD현대인프라코어","6890","0","0.00","1159","5.94","986","6.99","9097","0.76","110","1.60"
"267260","HD현대일렉트릭","382000","-9500","-2.43","7200","53.06","19159","19.94","29121","13.12","1000","0.26"
"329180","HD현대중공업","287500","-2000","-0.69","278","1034.17","9983","28.80","58660","4.90","0","0.00"
"097230","HJ중공업","5930","-130","-2.15",,,,,"4093","1.45","0","0.00"
"014790","HL D&I","2215","-10","-0.45","370","5.99","831","2.66","9721","0.23","0","0.00"
"003580","HLB글로벌","4080","185","4.75",,,,,"1166","3.50","0","0.00"
"204320","HL만도","40650","-350","-0.85","2890","14.07","5774","7.04","47505","0.86","600","1.48"
"060980","HL홀딩스","34250","-250","-0.72","5237","6.54","9729","3.52","105173","0.33","2000","5.84"
"011200","HMM","17660","130","0.74","1667","10.59","2140","8.25","31115","0.57","700","3.96"
"035000","HS애드","6340","40","0.63","1000","6.34",,,"11276","0.56","450","7.10"
"002460","HS화성","9690","-20","-0.21","2302","4.21","1241","7.81","40704","0.24","500","5.16"
"487570","HS효성","29850","-50","-0.17",,,,,,,"0","0.00"
"298050","HS효성첨단소재","174600","0","0.00","7957","21.94","21250","8.22","151670","1.15","6500","3.72"
"003560","IHQ","10760","0","0.00","6784","1.59",,,"6389","1.68","0","0.00"
"175330","JB금융지주","16280","-60","-0.37","2907","5.60","3487","4.67","26120","0.62","855","5.25"
"234080","JW생명과학","10880","-220","-1.98","1818","5.98","1737","6.26","10294","1.06","500","4.60"
"001060","JW중외제약","24000","850","3.67","1504","15.96","3094","7.76","10784","2.23","400","1.67"
"001067","JW중외제약2우B","60700","1600","2.71",,,,,,,"400","0.66"
"001065","JW중외제약우","29650","750","2.60",,,,,,,"425","1.43"
"096760","JW홀딩스","3020","5","0.17","266","11.35",,,"1716","1.76","105","3.48"
"105560","KB금융","82900","-2100","-2.47","11580","7.16","13606","6.09","150344","0.55","3060","3.69"
"002380","KCC","235500","2500","1.07","28917","8.14","52593","4.48","704004","0.33","8000","3.40"
"344820","KCC글라스","37600","-200","-0.53","5125","7.34",,,"93331","0.40","2200","5.85"
"009070","KCTC","3915","75","1.95","897","4.36",,,"9122","0.43","70","1.79"
"009440","KC그린홀딩스","858","90","11.72",,,,,"6467","0.13","50","5.83"
"119650","KC코트렐","595","-41","-6.45",,,,,"801","0.74","0","0.00"
"092220","KEC","780","3","0.39",,,,,"1738","0.45","20","2.56"
"003620","KG모빌리티","3770","-15","-0.40","48","78.54",,,"5791","0.65","0","0.00"
"016380","KG스틸","5530","-10","-0.18","2342","2.36","1804","3.07","18893","0.29","200","3.62"
"001390","KG케미칼","3730","85","2.33","1446","2.58",,,"13412","0.28","120","3.22"
"033180","KH 필룩스","6630","0","0.00",,,,,"27380","0.24","0","0.00"
"015590","KIB플러그에너지","515","0","0.00","62","8.31",,,"540","0.95","0","0.00"
"001940","KISCO홀딩스","19960","-490","-2.40","6602","3.02",,,"84091","0.24","900","4.51"
"025000","KPX케미칼","43850","0","0.00","13643","3.21",,,"133924","0.33","3000","6.84"
"092230","KPX홀딩스","52700","300","0.57","21366","2.47",,,"236881","0.22","3500","6.64"
"000040","KR모터스","454","10","2.25",,,,,"618","0.73","0","0.00"
"044450","KSS해운","8760","210","2.46","755","11.60",,,"18624","0.47","350","4.00"
"030200","KT","43850","-1150","-2.56","4043","10.85","6028","7.27","67972","0.65","1960","4.47"
"033780","KT&G","107100","-500","-0.46","7843","13.66","8371","12.79","81326","1.32","5200","4.86"
"058850","KTcs","2680","60","2.29","386","6.94",,,"5029","0.53","100","3.73"
"058860","KTis","2610","5","0.19","455","5.74",,,"6665","0.39","120","4.60"
"093050","LF","15500","-50","-0.32","2899","5.35","3064","5.06","53693","0.29","700","4.52"
"003550","LG","72000","-1400","-1.91","8032","8.96","8980","8.02","167498","0.43","3100","4.31"
"034220","LG디스플레이","9130","-80","-0.87",,,,,"18682","0.49","0","0.00"
"051900","LG생활건강","305000","-2000","-0.65","8513","35.83","18762","16.26","324268","0.94","3500","1.15"
"051905","LG생활건강우","137600","1100","0.81",,,,,,,"3550","2.58"
"373220","LG에너지솔루션","348000","0","0.00","5287","65.82","4820","72.20","86328","4.03","0","0.00"
"003555","LG우","59100","100","0.17",,,,,,,"3150","5.33"
"032640","LG유플러스","10330","-340","-3.19","1449","7.13","1407","7.34","19711","0.52","650","6.29"
"011070","LG이노텍","162000","-600","-0.37","23884","6.78","26213","6.18","199226","0.81","2610","1.61"
"066570","LG전자","83500","-1000","-1.18","3954","21.12","11456","7.29","109209","0.76","800","0.96"
"066575","LG전자우","41200","-100","-0.24",,,,,,,"850","2.06"
"037560","LG헬로비전","2430","20","0.83",,,"276","8.81","7300","0.33","120","4.94"
"051910","LG화학","250000","3000","1.21","17086","14.63","18514","13.50","411275","0.61","3500","1.40"
"051915","LG화학우","158800","1400","0.89",,,,,,,"3550","2.24"
"079550","LIG넥스원","220500","14000","6.78","8028","27.47","12148","18.15","48286","4.57","1950","0.88"
"006260","LS","94300","1000","1.07","15881","5.94","14425","6.54","172545","0.55","1600","1.70"
"010120","LS ELECTRIC","160800","800","0.50","7012","22.93","9870","16.29","58345","2.76","2800","1.74"
"000680","LS네트웍스","2775","10","0.36","145","19.14",,,"7619","0.36","0","0.00"
