종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스","4615","-45","-0.97","982","4.70",,,"6802","0.68","300","6.50"
"006840","AK홀딩스","25150","50","0.20","2168","11.60",,,"62448","0.40","750","2.98"
"027410","BGF","4895","-60","-1.21","281","17.42",,,"15699","0.31","110","2.25"
"282330","BGF리테일","135500","2000","1.50","8763","15.46",,,"36022","3.76","2700","1.99"
"138930","BNK금융지주","5680","10","0.18","1647","3.45",,,"25415","0.22","360","6.34"
"001460","BYC","286500","1500","0.53","33265","8.61",,,"517079","0.55","1100","0.38"
"001465","BYC우","138500","500","0.36",,,,,,,"1150","0.83"
"001040","CJ","92100","1000","1.10","8240","11.18",,,"126448","0.73","1850","2.01"
"079160","CJ CGV","25200","950","3.92",,,,,"11590","2.17","0","0.00"
"00104K","CJ4우(전환)","72400","1700","2.40",,,,,,,"1900","2.62"
"000120","CJ대한통운","165500","1500","0.91","1349","122.68",,,"131146","1.26","0","0.00"
"011150","CJ씨푸드","5100","70","1.39","51","100.00",,,"1781","2.86","0","0.00"
"011155","CJ씨푸드1우","41000","1100","2.76",,,,,,,"0","0.00"
"001045","CJ우","56700","1500","2.72",,,,,,,"1900","3.35"
"097950","CJ제일제당","381000","-2000","-0.52","9516","40.04",,,"297949","1.28","3500","0.92"
"097955","CJ제일제당 우","167500","0","0.00",,,,,,,"3550","2.12"
"000590","CS홀딩스","59000","-1100","-1.83","8435","6.99",,,"195584","0.30","500","0.85"
"012030","DB","796","15","1.92","23","34.61",,,"1049","0.76","0","0.00"
"016610","DB금융투자","4655","40","0.87","1172","3.97",,,"16484","0.28","250","5.37"
"005830","DB손해보험","43750","100","0.23","5966","7.33",,,"84026","0.52","1500","3.43"
"000990","DB하이텍","51000","1850","3.76","2410","21.16",,,"14483","3.52","350","0.69"
"000995","DB하이텍1우","118000","2500","2.16",,,,,,,"400","0.34"
"139130","DGB금융지주","6790","-70","-1.02","1900","3.57",,,"27296","0.25","410","6.04"
"001530","DI동일","146000","3500","2.46","6765","21.58",,,"195965","0.75","1500","1.03"
"004840","DRB동일","6890","20","0.29","461","14.95",,,"17771","0.39","100","1.45"
"155660","DSR","6250","60","0.97","546","11.45",,,"9613","0.65","50","0.80"
"069730","DSR제강","4885","80","1.66","469","10.42",,,"9851","0.50","40","0.82"
"017940","E1","44650","250","0.56",,,,,"166288","0.27","2200","4.93"
"007700","F&F","84400","600","0.72","7158","11.79",,,"31366","2.69","1000","1.18"
"114090","GKL","16700","350","2.14","1170","14.27",,,"9460","1.77","659","3.95"
"078930","GS","37550","250","0.67","5745","6.54",,,"93746","0.40","1900","5.06"
"006360","GS건설","37800","2050","5.73","5590","6.76",,,"49623","0.76","1000","2.65"
"001250","GS글로벌","1940","30","1.57",,,,,"4351","0.45","0","0.00"
"007070","GS리테일","34450","100","0.29","1729","19.92",,,"28232","1.22","750","2.18"
"078935","GS우","30400","-300","-0.98",,,,,,,"1950","6.41"
"012630","HDC","11050","250","2.31","4460","2.48",,,"36131","0.31","200","1.81"
"039570","HDC아이콘트롤스","10500","50","0.48",,,,,"10245","1.02","350","3.33"
"089470","HDC현대EP","6620","40","0.61","445","14.88",,,"8886","0.74","120","1.81"
"294870","HDC현대산업개발","26100","1150","4.61","8731","2.99",,,"47095","0.55","500","1.92"
"011200","HMM","13950","200","1.45",,,,,"3420","4.08","0","0.00"
"082740","HSD엔진","8400","390","4.87",,,,,"5722","1.47","0","0.00"
"003560","IHQ","1610","55","3.54",,,,,"933","1.73","0","0.00"
"175330","JB금융지주","5640","10","0.18","1641","3.44",,,"17615","0.32","300","5.32"
"234080","JW생명과학","20750","350","1.72","1385","14.98",,,"7744","2.68","500","2.41"
"001060","JW중외제약","35050","1350","4.01",,,,,"10059","3.48","325","0.93"
"001067","JW중외제약2우B","54900","1900","3.58",,,,,,,"350","0.64"
"001065","JW중외제약우","40400","1900","4.94",,,,,,,"350","0.87"
"096760","JW홀딩스","5830","80","1.39",,,,,"2191","2.66","90","1.54"
"105560","KB금융","43400","0","0.00","8451","5.14",,,"92672","0.47","2210","5.09"
"002380","KCC","197500","4000","2.07",,,,,"421723","0.47","5500","2.78"
"009070","KCTC","3750","75","2.04","239","15.69",,,"6409","0.59","45","1.20"
"009440","KC그린홀딩스","5200","140","2.77","369","14.09",,,"7996","0.65","60","1.15"
"119650","KC코트렐","10800","300","2.86","149","72.48",,,"5805","1.86","30","0.28"
"092220","KEC","2935","115","4.08",,,,,"1782","1.65","0","0.00"
"016380","KG동부제철","11600","300","2.65",,,,,"8886","1.31","0","0.00"
"016385","KG동부제철우","121000","4000","3.42",,,,,,,"0","0.00"
"001390","KG케미칼","23850","450","1.92","7691","3.10",,,"26210","0.91","350","1.47"
"001940","KISCO홀딩스","14200","100","0.71","2909","4.88",,,"44246","0.32","280","1.97"
"025000","KPX케미칼","54900","0","0.00","8571","6.41",,,"96367","0.57","2500","4.55"
"092230","KPX홀딩스","60400","-500","-0.82","8406","7.19",,,"149477","0.40","2600","4.30"
"000040","KR모터스","1135","60","5.58",,,,,"318","3.57","0","0.00"
"044450","KSS해운","10350","50","0.49","1034","10.01",,,"12026","0.86","270","2.61"
"030200","KT","24000","-200","-0.83","2526","9.50",,,"52341","0.46","1100","4.58"
"033780","KT&G","83100","-200","-0.24","8208","10.12",,,"63008","1.32","4400","5.29"
"030210","KTB투자증권","3190","40","1.27","681","4.68",,,"8098","0.39","150","4.70"
"058850","KTcs","2215","5","0.23","178","12.44",,,"3715","0.60","80","3.61"
"058860","KTis","2575","40","1.58","272","9.47",,,"4835","0.53","90","3.50"
"093050","LF","14700","250","1.73","2313","6.36",,,"41768","0.35","500","3.40"
"003550","LG","87500","1500","1.74","6143","14.24",,,"107050","0.82","2200","2.51"
"034220","LG디스플레이","18550","-50","-0.27",,,,,"31694","0.59","0","0.00"
