종목코드,종목명,자본
005930,삼성전자,188199924
000660,SK하이닉스,45069094
035420,NAVER,2557213
207940,삼성바이오로직스,7958179
005380,현대차,38428384
012330,현대모비스,24398514
051910,LG화학,15143966
005490,POSCO,38184604
028260,삼성물산,14096829
055550,신한지주,28952890
105560,KB금융,34160771
051900,LG생활건강,2643563
017670,SK텔레콤,16149142
034730,SK,14180306
000270,기아차,27208479
015760,한국전력,42491907
006400,삼성SDI,23183470
018260,삼성에스디에스,6404248
032830,삼성생명,15684211
096770,SK이노베이션,16127715
033780,KT&G,5774904
003550,LG,15721872
036570,엔씨소프트,3868771
066570,LG전자,14748759
090430,아모레퍼시픽,1763454
000810,삼성화재,8545017
086790,하나금융지주,26378410
010950,S-Oil,5862918
009150,삼성전기,10039475
009540,한국조선해양,11052838
010130,고려아연,4530932
011170,롯데케미칼,4570056
030200,KT,9929604
021240,웅진코웨이,1249226
024110,기업은행,14188442
002790,아모레G,1460234
035250,강원랜드,2483388
032640,LG유플러스,5535608
018880,한온시스템,9447413
034220,LG디스플레이,6320114
086280,현대글로비스,2867647
006800,미래에셋대우,8875516
078930,GS,5919054
000720,현대건설,5744328
010140,삼성중공업,7896724
029780,삼성카드,6481381
004020,현대제철,8393740
161390,한국타이어앤테크놀로지,2968578
071050,한국금융지주,4980941
004990,롯데지주,4169607
097950,CJ제일제당,2303747
023530,롯데쇼핑,8914247
005830,DB손해보험,3192103
000120,CJ대한통운,2009041
005940,NH투자증권,5584208
139480,이마트,4868722
012750,에스원,1059679
008770,호텔신라,1375957
016360,삼성증권,4995623
241560,두산밥캣,2628671
128940,한미약품,743631
036460,한국가스공사,7941016
047810,한국항공우주,595876
011070,LG이노텍,2784366
081660,휠라코리아,1951264
000210,대림산업,4090130
000100,유한양행,1736660
009830,한화케미칼,3498718
007070,GS리테일,1481495
042660,대우조선해양,1820537
001040,CJ,1729140
030000,제일기획,1197723
004170,신세계,4991679
003410,쌍용양회,3071918
003490,대한항공,3180085
138930,BNK금융지주,6401703
001450,현대해상,2132150
002380,KCC,3792225
028670,팬오션,2792663
008930,한미사이언스,414506
006360,GS건설,4363223
008560,메리츠종금증권,2339608
047050,포스코인터내셔널,1826148
011780,금호석유,1341617
000080,하이트진로,1784101
088350,한화생명,3039855
007310,오뚜기,828756
000880,한화,2883028
009420,한올바이오파마,266339
011790,SKC,2278883
069960,현대백화점,2628031
020150,일진머티리얼즈,838825
047040,대우건설,2592172
017800,현대엘리베이,844416
010620,현대미포조선,2299170
051600,한전KPS,568306
026960,동서,708073
012450,한화에어로스페이스,1754542
004800,효성,1061604
204320,만도,989755
010120,LS산전,1388136
001740,SK네트웍스,2167993
006260,LS,1854410
006280,녹십자,806493
111770,영원무역,1319711
031430,신세계인터내셔날,1536500
069620,대웅제약,959731
010060,OCI,2332767
004370,농심,1179738
009240,한샘,136042
214320,이노션,750265
120110,코오롱인더,1187785
011210,현대위아,2166973
000240,한국테크놀로지그룹,1785987
064350,현대로템,1163158
000990,DB하이텍,439212
000150,두산,1065712
000670,영풍,1563311
001800,오리온홀딩스,392637
003240,태광산업,2810010
003520,영진약품,77680
004000,롯데정밀화학,1713044
005440,현대그린푸드,1124076
014680,한솔케미칼,307787
034020,두산중공업,1270637
042670,두산인프라코어,1269555
073240,금호타이어,1029963
114090,GKL,434330
005300,롯데칠성,1316569
005250,녹십자홀딩스,649924
010780,아이에스동서,469083
185750,종근당,321380
161890,한국콜마,171882
170900,동아에스티,656745
057050,현대홈쇼핑,975758
002350,넥센타이어,685929
003000,부광약품,174986
069260,휴켐스,459884
049770,동원F&B,597371
005850,에스엘,961416
001680,대상,669862
005610,SPC삼립,130634
006650,대한유화,438937
008060,대덕전자,936980
014820,동원시스템즈,113431
020000,한섬,754444
052690,한전기술,353139
071840,롯데하이마트,1302639
079160,CJ CGV,206532
093370,후성,96015
115390,락앤락,619894
192400,쿠쿠홀딩스,298722
192820,코스맥스,71247
003850,보령제약,274801
000640,동아쏘시오홀딩스,451964
001060,JW중외제약,142178
001120,LG상사,614040
105630,한세실업,287137
064960,S&T모티브,578832
079550,LIG넥스원,226450
103140,풍산,641325
012630,HDC,458435
000070,삼양홀딩스,726337
145990,삼양사,477673
001430,세아베스틸,882092
002270,롯데푸드,467462
004490,세방전지,767941
005180,빙그레,452188
006120,SK디스커버리,411438
006390,한일현대시멘트,65668
006840,AK홀딩스,347247
019680,대교,388486
027410,BGF,102293
060980,한라홀딩스,667594
093050,LF,872484
108670,LG하우시스,450029
001230,동국제강,1113382
001520,동양,462854
002240,고려제강,775472
002960,한국쉘석유,70571
096760,JW홀딩스,86073
014830,유니드,629697
025540,한국단자,304960
025860,남해화학,375351
007570,일양약품,103209
003620,쌍용차,205906
079430,현대리바트,165148
003920,남양유업,410961
