종목코드,종목명,자본
005930,삼성전자,105013902
000660,SK하이닉스,18984544
207940,삼성바이오로직스,4255037
005380,현대차,38363152
051910,LG화학,11393276
017670,SK텔레콤,16119236
005490,POSCO,31156472
015760,한국전력,62497091
035420,NAVER,2519704
028260,삼성물산,15160833
105560,KB금융,22607193
055550,신한지주,25037739
012330,현대모비스,20550371
034730,SK,11956652
051900,LG생활건강,2066783
096770,SK이노베이션,14819258
032830,삼성생명,17548387
018260,삼성에스디에스,5244210
006400,삼성SDI,11238382
033780,KT&G,6193417
000270,기아차,26785775
000810,삼성화재,10360838
090430,아모레퍼시픽,2259604
003550,LG,10488472
010950,S-Oil,5164009
086790,하나금융지주,16490568
000030,우리은행,20280000
036570,엔씨소프트,1968183
066570,LG전자,6372037
251270,넷마블,724078
011170,롯데케미칼,7032808
009540,현대중공업,16841380
035720,카카오,3192915
010130,고려아연,4829157
024110,기업은행,13112837
030200,KT,11277003
009150,삼성전기,4224480
032640,LG유플러스,6067867
035250,강원랜드,2989562
034220,LG디스플레이,7781413
004990,롯데지주,4584359
000720,현대건설,9500039
004020,현대제철,12323310
023530,롯데쇼핑,14558359
002790,아모레G,1356269
018880,한온시스템,1419961
021240,코웨이,866648
128940,한미약품,524624
139480,이마트,5191160
005830,DB손해보험,4119273
097950,CJ제일제당,3189364
161390,한국타이어,4362793
008930,한미사이언스,460224
086280,현대글로비스,3290816
078930,GS,5640511
010140,삼성중공업,10148478
036460,한국가스공사,10594017
006800,미래에셋대우,4573198
029780,삼성카드,5801341
012750,에스원,1032140
000120,CJ대한통운,2801221
005940,NH투자증권,4080429
088350,한화생명,5235996
042660,대우조선해양,4113569
000210,대림산업,5169565
001450,현대해상,2479642
006360,GS건설,5687289
028050,삼성엔지니어링,1437333
001040,CJ,2316997
009830,한화케미칼,3328111
071050,한국금융지주,2631506
002380,KCC,4797004
007070,GS리테일,1999038
241560,두산밥캣,2951261
003490,대한항공,2075904
003410,쌍용양회,3076968
047810,한국항공우주,945123
008770,호텔신라,585279
017800,현대엘리베이,1689497
016360,삼성증권,3750600
011780,금호석유,1291179
004170,신세계,2769633
007310,오뚜기,970332
030000,제일기획,808884
010060,OCI,2526617
008560,메리츠종금증권,2142268
010620,현대미포조선,3282916
000100,유한양행,1371875
000880,한화,2554300
138930,BNK금융지주,5309122
064350,현대로템,2076535
028670,팬오션,2140685
047040,대우건설,1851410
069620,대웅제약,571746
047050,포스코대우,2738327
011070,LG이노텍,1065020
069960,현대백화점,3205426
000150,두산,1680618
020150,일진머티리얼즈,348809
009420,한올바이오파마,154882
012450,한화에어로스페이스,2088025
111770,영원무역,1517272
026960,동서,722522
006260,LS,1664232
006280,녹십자,597507
161890,한국콜마,245779
042670,두산인프라코어,1815998
009240,한샘,202837
000240,한국타이어월드와이드,2451008
003240,태광산업,2533945
004370,농심,1290027
120110,코오롱인더,1236710
051600,한전KPS,646753
073240,금호타이어,2421194
114090,GKL,441320
010120,LS산전,803279
000670,영풍,1879890
204320,만도,686570
011790,SKC,1074990
005440,현대그린푸드,1440386
001740,SK네트웍스,1897906
214320,이노션,565179
192820,코스맥스,234549
000080,하이트진로,875352
003000,부광약품,226116
005250,녹십자홀딩스,468416
115390,락앤락,502988
034020,두산중공업,2150638
049770,동원F&B,689129
057050,현대홈쇼핑,1200000
005300,롯데칠성,1434723
001800,오리온홀딩스,682304
003520,영진약품,74004
004000,롯데정밀화학,701384
185750,종근당,273827
006650,대한유화,750188
012630,HDC,928419
071840,롯데하이마트,1280581
005610,SPC삼립,238138
002350,넥센타이어,878053
010780,아이에스동서,794669
011210,현대위아,1825596
170900,동아에스티,617052
020000,한섬,1014589
069260,휴켐스,482928
014680,한솔케미칼,301854
001060,JW중외제약,228632
001680,대상,741823
002270,롯데푸드,966863
027410,BGF,974214
052690,한전기술,369814
079550,LIG넥스원,390817
103140,풍산,709689
105630,한세실업,332218
192400,쿠쿠홀딩스,293667
079160,CJ CGV,206575
000070,삼양홀딩스,840369
000640,동아쏘시오홀딩스,760311
001230,동국제강,1437456
004800,효성,510932
005180,빙그레,600181
093370,후성,110830
006840,AK홀딩스,489978
008060,대덕전자,689187
014820,동원시스템즈,166035
093050,LF,835189
005850,에스엘,734358
001120,LG상사,708293
001430,세아베스틸,1057933
145990,삼양사,608537
019680,대교,436545
025860,남해화학,426349
003620,쌍용차,635209
000990,DB하이텍,308798
001520,동양,898320
002240,고려제강,989362
002960,한국쉘석유,85273
003850,보령제약,203279
003920,남양유업,651130
108670,LG하우시스,488048
006120,SK디스커버리,345061
007570,일양약품,139299
025540,한국단자,374203
060980,한라홀딩스,638673
079430,현대리바트,206901
096760,JW홀딩스,101270
004490,세방전지,825082
003300,한일홀딩스,447488
014830,유니드,565717
034120,SBS,419600
064960,S&T모티브,391640
033920,무학,340000
097230,한진중공업,450044
036580,팜스코,194383
