종목코드,종목명,자본
005930,삼성전자,160445674
000660,SK하이닉스,22288840
005380,현대차,65633400
015760,한국전력,108763531
012330,현대모비스,31726889
035420,NAVER,4351972
028260,삼성물산,22890481
005490,POSCO,46772104
032830,삼성생명,43269231
055550,신한지주,36995743
090430,아모레퍼시픽,6023848
017670,SK텔레콤,21031441
105560,KB금융,31955668
051910,LG화학,11928798
034730,SK,14417579
000270,기아차,24106835
033780,KT&G,8721096
096770,SK이노베이션,17366929
051900,LG생활건강,2104528
000810,삼성화재,12720144
011170,롯데케미칼,21079383
034220,LG디스플레이,26793581
009540,현대중공업,14744000
002790,아모레G,4647008
018260,삼성에스디에스,4283414
003550,LG,14379761
010950,S-Oil,5544048
086790,하나금융지주,22024038
010130,고려아연,7002539
066570,LG전자,9279370
004020,현대제철,30425640
035250,강원랜드,4321115
030200,KT,14484315
006400,삼성SDI,5392327
161390,한국타이어,11778285
024110,기업은행,19220895
023530,롯데쇼핑,21137070
021240,코웨이,1068843
047810,한국항공우주,1985055
086280,현대글로비스,4598214
088350,한화생명,29850005
018880,한온시스템,1882925
036570,엔씨소프트,1083320
001040,CJ,6906454
139480,이마트,11863430
004800,효성,7514103
032640,LG유플러스,5554667
078930,GS,8666762
097950,CJ제일제당,5471371
000720,현대건설,6354703
029780,삼성카드,6969088
009240,한샘,1836569
036460,한국가스공사,10401314
005830,동부화재,6061644
027410,BGF리테일,11258322
009830,한화케미칼,7981943
000120,CJ대한통운,3070233
001800,오리온,6670381
002380,KCC,8825735
009150,삼성전기,1887781
010140,삼성중공업,5305147
007070,GS리테일,2527724
008930,한미사이언스,920294
012630,현대산업,9966232
012750,에스원,1181748
128940,한미약품,640146
047050,포스코대우,3843325
000210,대림산업,4663200
138930,BNK금융지주,8573085
034020,두산중공업,9314532
005940,NH투자증권,3573153
001450,현대해상,4855345
000880,한화,4529834
004990,롯데제과,4374481
069960,현대백화점,5427374
011780,금호석유,2250767
051600,한전KPS,1362570
016360,삼성증권,3274318
006800,미래에셋대우,3196370
071050,한국금융지주,2266912
012450,한화테크윈,2998051
007310,오뚜기,1380170
000100,유한양행,1135170
204320,만도,1882298
000150,두산,2690895
047040,대우건설,2455073
011070,LG이노텍,1341136
000670,영풍,5025464
003490,대한항공,2119327
028050,삼성엔지니어링,565490
011210,현대위아,4411647
004370,농심,2592921
000240,한국타이어월드와이드,4488765
006260,LS,3896857
006280,녹십자,1256703
120110,코오롱인더,2621414
010060,OCI,4265784
042670,두산인프라코어,3049593
008770,호텔신라,397852
001740,SK네트웍스,2726125
004170,신세계,2113112
030000,제일기획,578881
006650,대한유화,3979444
008560,메리츠종금증권,2175151
005300,롯데칠성,1806316
006120,SK케미칼,4400859
003520,영진약품,144122
064350,현대로템,1214764
005440,현대그린푸드,2212719
000080,하이트진로,831359
005610,SPC삼립,609424
161890,한국콜마,576095
017800,현대엘리베이,703436
014820,동원시스템즈,803100
003410,쌍용양회,874789
010620,현대미포조선,1680000
111770,영원무역,1385863
057050,현대홈쇼핑,2347368
073240,금호타이어,1576214
010780,아이에스동서,1440479
002350,넥센타이어,1870755
002620,제일약품,2178900
010120,LS산전,938976
192400,쿠쿠전자,1028157
042660,대우조선해양,1570386
114090,GKL,591097
011790,SKC,990912
001120,LG상사,2180250
001230,동국제강,3635048
003240,태광산업,2774711
192820,코스맥스,354931
103140,풍산,2364548
145990,삼양사,2204957
003620,쌍용차,2640651
000070,삼양홀딩스,2436738
000640,동아쏘시오홀딩스,1052082
001060,JW중외제약,382845
185750,종근당,399693
014680,한솔케미칼,298695
105630,한세실업,610714
003000,부광약품,429144
001430,세아베스틸,3159576
001680,대상,998314
002270,롯데푸드,1307006
170900,동아에스티,514929
052690,한전기술,544520
069260,휴켐스,661989
108670,LG하우시스,1430343
020000,한섬,1100456
002240,고려제강,2409000
004000,롯데정밀화학,930318
005850,에스엘,1196382
115390,락앤락,681624
025540,한국단자,1280720
049770,동원F&B,553701
069620,대웅제약,247204
007570,일양약품,337560
000990,동부하이텍,320659
001520,동양,1737737
005180,빙그레,622286
009420,한올바이오파마,42353
093370,후성,186323
033920,무학,1356719
060980,한라홀딩스,1148496
064960,S&T모티브,830628
093050,LF,1369830
019680,대교,662148
002960,한국쉘석유,136469
003030,세아제강,2645714
003300,한일시멘트,2205554
003850,보령제약,182111
029530,신도리코,1286963
004490,세방전지,987925
007340,동아타이어,1094080
020150,일진머티리얼즈,146606
003920,남양유업,1201091
000050,경방,1165150
001780,알루코,398704
005740,크라운제과,752836
008060,대덕전자,462998
008490,서흥,286529
079430,현대리바트,670657
014830,유니드,630756
025860,남해화학,439265
034120,SBS,704603
036580,팜스코,787982
009290,광동제약,519333
000140,하이트진로홀딩스,444498
003200,일신방직,1235000
003570,S&T중공업,838897
004700,조광피혁,260171
004710,한솔테크닉스,319250
104700,한국철강,1137437
007210,벽산,570518
007690,국도화학,569648
078520,에이블씨엔씨,365907
005090,삼광글라스,613672
000230,일동홀딩스,251823
