종목코드,종목명,자본
005930,삼성전자,165893957
207940,삼성바이오로직스,4498372
000660,SK하이닉스,29674009
051910,LG화학,15863448
006400,삼성SDI,11447841
005380,현대차,38872164
035420,NAVER,3450084
000270,기아,21655897
035720,카카오,3005247
005490,POSCO홀딩스,43303602
068270,셀트리온,2719523
028260,삼성물산,28664438
105560,KB금융,36725015
012330,현대모비스,25896111
055550,신한지주,39798282
066570,LG전자,8737985
032830,삼성생명,45806452
096770,SK이노베이션,9246556
015760,한국전력,69974085
034730,SK,13739434
003670,포스코케미칼,1491271
086790,하나금융지주,30348149
033780,KT&G,10468552
003550,LG,17550297
323410,카카오뱅크,1347022
010130,고려아연,8117986
051900,LG생활건강,2757051
017670,SK텔레콤,10584379
329180,현대중공업,8172763
036570,엔씨소프트,2190513
034020,두산에너빌리티,3963687
009150,삼성전기,3664484
018260,삼성에스디에스,5229379
011200,HMM,1835071
010950,S-Oil,5334889
000810,삼성화재,15039630
030200,KT,15483472
003490,대한항공,4082446
316140,우리금융지주,21022748
009830,한화솔루션,8308056
259960,크래프톤,508680
090430,아모레퍼시픽,3117347
024110,기업은행,23729461
377300,카카오페이,67751
352820,하이브,682665
011170,롯데케미칼,10548555
086280,현대글로비스,4944556
011070,LG이노텍,1683365
302440,SK바이오사이언스,108115
097950,CJ제일제당,4773432
326030,SK바이오팜,281194
000060,메리츠화재,3656869
138040,메리츠금융지주,3095066
251270,넷마블,2622016
271560,오리온,2259208
009540,한국조선해양,8202720
047810,한국항공우주,1872258
035250,강원랜드,3141405
032640,LG유플러스,5956242
005830,DB손해보험,7705400
010140,삼성중공업,4408627
267250,HD현대,7517508
034220,LG디스플레이,5785461
028050,삼성엔지니어링,1557500
018880,한온시스템,1273877
021240,코웨이,1121032
000100,유한양행,1668861
078930,GS,9249305
004020,현대제철,12374064
000720,현대건설,5047164
361610,SK아이이테크놀로지,433345
161390,한국타이어앤테크놀로지,5759266
008560,메리츠증권,4623919
006800,미래에셋증권,4988165
011780,금호석유,2086781
282330,BGF리테일,1007829
128940,한미약품,789410
012450,한화에어로스페이스,3964221
010620,현대미포조선,2812593
011790,SKC,918176
241560,두산밥캣,3468621
036460,한국가스공사,6961940
029780,삼성카드,6713000
008770,호텔신라,652304
004990,롯데지주,6594294
028670,팬오션,2973867
137310,에스디바이오센서,450379
064350,현대로템,1867254
002790,아모레G,2196786
003410,쌍용C&E,1261840
112610,씨에스윈드,501104
007070,GS리테일,2890010
071050,한국금융지주,3337298
005940,NH투자증권,4474938
016360,삼성증권,3744647
139480,이마트,5938761
047050,포스코인터내셔널,3168498
001450,현대해상,6122860
030000,제일기획,1015977
023530,롯데쇼핑,10297108
001040,CJ,3834041
006040,동원산업,3681560
180640,한진칼,922594
088350,한화생명,12029140
020150,일진머티리얼즈,235084
012750,에스원,1110025
006260,LS,4234604
000120,CJ대한통운,2485485
004170,신세계,2967041
004370,농심,2285793
138930,BNK금융지주,6834126
014680,한솔케미칼,336968
039490,키움증권,2294207
052690,한전기술,320555
008930,한미사이언스,394830
026960,동서,899080
042660,대우조선해양,3176809
272210,한화시스템,1043508
081660,휠라홀딩스,1195273
111770,영원무역,1981355
079550,LIG넥스원,905536
000080,하이트진로,895957
000880,한화,2827488
001440,대한전선,419974
002380,KCC,3188216
336260,두산퓨얼셀,250618
007310,오뚜기,1603132
010060,OCI,1817952
069620,대웅제약,590505
204320,HL만도,1039765
006360,GS건설,2350713
000990,DB하이텍,405260
047040,대우건설,1930337
010120,LS ELECTRIC,1421849
005300,롯데칠성,1616915
006280,녹십자,663775
042670,현대두산인프라코어,1757897
298050,효성첨단소재,175154
298020,효성티앤씨,403917
051600,한전KPS,905455
000150,두산,903376
000240,한국앤컴퍼니,3079877
001120,LX인터내셔널,1708964
069960,현대백화점,3367668
004800,효성,1588613
011210,현대위아,1921139
004000,롯데정밀화학,1250308
000210,DL,1363284
003090,대웅,449882
114090,GKL,700043
285130,SK케미칼,408730
014820,동원시스템즈,429579
000670,영풍,3095650
001230,동국제강,1418767
005850,에스엘,996256
006650,대한유화,1769444
009240,한샘,293188
017800,현대엘리베이,691659
280360,롯데제과,1778054
020560,아시아나항공,723448
032350,롯데관광개발,197209
093370,후성,102703
120110,코오롱인더,1167434
271940,일진하이솔루스,36435
019170,신풍제약,237422
001740,SK네트웍스,1574567
001800,오리온홀딩스,1885504
009420,한올바이오파마,153193
010780,아이에스동서,751009
031430,신세계인터내셔날,542071
192080,더블유게임즈,552990
103140,풍산,1571695
161890,한국콜마,658607
178920,PI첨단소재,148372
185750,종근당,408389
039130,하나투어,126022
001680,대상,985444
003240,태광산업,2373131
005250,녹십자홀딩스,547589
009900,명신산업,104431
300720,한일시멘트,720444
069260,TKG휴켐스,575755
073240,금호타이어,706712
192820,코스맥스,322222
016380,KG스틸,678042
003850,보령,228798
004490,세방전지,617604
005440,현대그린푸드,1399045
013890,지누스,225008
020000,한섬,854156
381970,케이카,69512
105630,한세실업,296154
241590,화승엔터프라이즈,283878
284740,쿠쿠홈시스,376947
294870,HDC현대산업개발,1198315
057050,현대홈쇼핑,1540000
