일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2025/12/30","925.47","-7.12","-0.76","928.99","929.95","920.56","818897041","10557101430634","505926194386465"
"2025/12/29","932.59","12.92","1.40","923.22","932.64","921.12","913419388","11853731601396","509275603324523"
"2025/12/26","919.67","4.47","0.49","920.90","923.61","913.85","829359264","11348264363182","500989120222614"
"2025/12/24","915.20","-4.36","-0.47","921.01","921.01","913.21","833834632","11450572177569","498536727361424"
"2025/12/23","919.56","-9.58","-1.03","932.48","932.48","918.54","956469284","11974077594698","499568763110517"
"2025/12/22","929.14","13.87","1.52","923.97","929.83","923.20","986661769","12426243717625","504618202666855"
"2025/12/19","915.27","13.94","1.55","909.70","922.10","899.25","973702578","11519713607616","496854683132562"
"2025/12/18","901.33","-9.74","-1.07","899.30","907.54","895.19","900506774","10091584040442","489255541618737"
"2025/12/17","911.07","-5.04","-0.55","922.03","922.74","907.24","1005567478","12225835180744","493135373279600"
"2025/12/16","916.11","-22.72","-2.42","938.23","938.23","915.49","933444140","13198345760146","495712178661559"
"2025/12/15","938.83","1.49","0.16","925.60","939.42","921.09","991670245","11342621170141","507476151030299"
"2025/12/12","937.34","2.70","0.29","933.99","938.11","930.21","1012037244","12548791564888","506740847424764"
"2025/12/11","934.64","-0.36","-0.04","940.59","943.19","929.56","912428273","10944398201410","505070694113694"
"2025/12/10","935.00","3.65","0.39","932.37","936.75","927.36","770849791","10240181827515","505095410830341"
"2025/12/09","931.35","3.56","0.38","926.93","932.57","924.55","711665879","10118606861976","503851518812286"
"2025/12/08","927.79","3.05","0.33","928.52","929.92","922.17","702958391","11844423719705","501026975755703"
"2025/12/05","924.74","-5.09","-0.55","930.75","933.06","916.11","699773919","12778902994253","499595789043797"
"2025/12/04","929.83","-2.18","-0.23","934.01","937.88","924.62","754373225","12371869468538","499241591213125"
"2025/12/03","932.01","3.59","0.39","931.49","932.98","926.08","816178315","9830865957190","497621924464485"
"2025/12/02","928.42","6.04","0.65","921.37","928.42","914.67","783738636","10175318423989","495835164471199"
"2025/12/01","922.38","9.71","1.06","920.69","933.26","917.18","847837459","11816138642333","492998628504584"
"2025/11/28","912.67","32.61","3.71","888.75","912.67","888.10","802794496","11749565431796","487358344850909"
"2025/11/27","880.06","2.74","0.31","879.44","884.00","878.04","721126512","8610287779742","468723962913122"
