일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/12/28","866.57","6.78","0.79","860.42","866.57","856.53","1251153574","8470236424538","431792284696650"
"2023/12/27","859.79","11.45","1.35","851.49","860.29","851.21","1221463001","10660357859864","428391090402708"
"2023/12/26","848.34","-6.28","-0.73","855.75","857.24","846.32","1078585688","9647321193195","423097874011523"
"2023/12/22","854.62","-4.82","-0.56","863.35","864.79","853.49","1212763839","11079843311407","426333060285533"
"2023/12/21","859.44","-3.54","-0.41","855.76","867.33","851.82","1145618422","11087457458968","428449213970818"
"2023/12/20","862.98","4.68","0.55","861.96","865.02","860.56","1117583658","9847807297767","430262572827308"
"2023/12/19","858.30","7.34","0.86","850.36","858.65","849.33","1068049562","11741043751369","427781325532824"
"2023/12/18","850.96","12.65","1.51","844.78","854.07","843.61","802089047","8628218117924","424150156590754"
"2023/12/15","838.31","-2.28","-0.27","844.76","846.70","834.94","1082325627","9586610750095","417973079092298"
"2023/12/14","840.59","11.28","1.36","841.75","845.54","834.66","1037462174","11695701638294","418931902190699"
"2023/12/13","829.31","-10.22","-1.22","837.55","838.25","828.72","1071809015","10192342204535","413323756989962"
"2023/12/12","839.53","4.28","0.51","835.41","842.56","833.67","1217323007","9462123852071","418033770244538"
"2023/12/11","835.25","4.88","0.59","831.83","839.15","831.64","930374425","7034637970487","414215250778726"
"2023/12/08","830.37","17.17","2.11","818.71","830.99","818.50","862256339","8258782903553","411561684858623"
"2023/12/07","813.20","-6.34","-0.77","820.46","820.46","810.90","794863708","7508853058843","403050653416789"
"2023/12/06","819.54","6.16","0.76","816.66","822.39","814.00","882764259","8478611028925","406152913501448"
"2023/12/05","813.38","-15.14","-1.83","823.86","828.25","810.52","1058500321","9209908792657","402801220567134"
"2023/12/04","828.52","1.28","0.15","828.66","837.95","823.99","1009243076","10498736890668","409935238534081"
"2023/12/01","827.24","-4.44","-0.53","826.30","831.03","822.03","997870134","8841801708866","409283557270978"
"2023/11/30","831.68","9.24","1.12","819.23","831.68","819.23","774887614","8064192453995","409505275920919"
"2023/11/29","822.44","6.00","0.73","817.90","823.81","812.95","916373964","8954166530674","404935896232367"
"2023/11/28","816.44","6.19","0.76","811.76","816.62","811.06","933903190","8985735290782","402155801721691"
"2023/11/27","810.25","-4.75","-0.58","816.55","816.60","809.26","793999086","7898997114386","398598848757303"
"2023/11/24","815.00","-0.98","-0.12","817.02","818.74","814.22","741072449","7576859647662","401042266895043"
"2023/11/23","815.98","1.37","0.17","816.16","819.91","813.25","909847416","7294415537629","400519326332160"
"2023/11/22","814.61","-2.40","-0.29","811.20","817.28","809.83","842425267","7028404530888","399781373957833"
"2023/11/21","817.01","3.93","0.48","816.34","819.14","811.24","897451667","7487096336385","400925813172224"
"2023/11/20","813.08","14.02","1.75","797.83","815.27","797.51","786862534","6525301064867","398291726402113"
"2023/11/17","799.06","-12.05","-1.49","807.61","807.62","795.66","804590769","5959948596949","390975932221284"
"2023/11/16","811.11","1.75","0.22","809.12","815.82","804.74","905406930","6698681416524","396747876077641"
"2023/11/15","809.36","15.17","1.91","808.68","813.06","805.27","816588156","7793756775930","395818434792009"
"2023/11/14","794.19","19.77","2.55","779.47","794.91","779.47","841492448","6027749856457","388255637460621"
"2023/11/13","774.42","-14.89","-1.89","796.41","798.15","774.33","998048078","6776885828825","378636125609200"
"2023/11/10","789.31","-13.56","-1.69","792.86","794.73","785.45","863204580","6321994417130","385805211467449"
"2023/11/09","802.87","-8.15","-1.00","813.89","814.92","797.44","921924711","7618954243014","392553959323665"
"2023/11/08","811.02","-13.35","-1.62","821.98","831.45","810.15","884415628","8307781164576","396950367777154"
"2023/11/07","824.37","-15.08","-1.80","842.16","847.37","805.81","928085957","11589232467473","403415638740242"
"2023/11/06","839.45","57.40","7.34","794.49","839.45","793.72","849326310","11332271146669","410526334336536"
"2023/11/03","782.05","9.21","1.19","779.28","782.53","768.38","810108904","6726856710026","382563192241877"
"2023/11/02","772.84","33.61","4.55","753.37","773.39","753.37","794255847","7067105328807","377971180090034"
"2023/11/01","739.23","3.13","0.43","742.98","749.65","737.52","753917385","5100036513141","361406917718397"
"2023/10/31","736.10","-21.02","-2.78","758.65","759.24","734.20","868119072","5797427225320","359870029631241"
"2023/10/30","757.12","8.63","1.15","747.24","760.87","744.63","648823172","4759448788914","369973882749552"
"2023/10/27","748.49","4.64","0.62","749.87","760.51","738.92","665631834","5753194045411","365644484217477"
"2023/10/26","743.85","-26.99","-3.50","751.64","756.43","740.51","839569016","6594877325540","364097301031312"
"2023/10/25","770.84","-14.02","-1.79","788.01","788.01","770.84","1015507373","6623146800814","377272631075685"
"2023/10/24","784.86","21.17","2.77","771.03","784.86","750.32","951759212","7004292442847","384030224853614"
"2023/10/23","763.69","-5.56","-0.72","766.56","774.36","762.51","762343882","5227424187063","373761247614238"
"2023/10/20","769.25","-14.79","-1.89","775.81","779.92","759.40","980560186","7114302122354","376280739671974"
"2023/10/19","784.04","-24.85","-3.07","796.15","796.36","782.63","878334776","6394936423147","383117618035398"
"2023/10/18","808.89","-11.49","-1.40","816.92","820.09","807.45","864011792","6920168791398","394765329268523"
"2023/10/17","820.38","9.84","1.21","817.47","825.33","817.29","948110924","6949075407195","400045072789920"
"2023/10/16","810.54","-12.24","-1.49","812.57","813.19","800.62","1049948703","6859239777626","395207401475388"
