종목코드,종목명,자본
005930,삼성전자,368998370
000660,SK하이닉스,124111247
373220,LG에너지솔루션,9152333
207940,삼성바이오로직스,4913010
005380,현대차,82782040
005490,POSCO홀딩스,103032510
000270,기아,59124147
035420,NAVER,32194270
051910,LG화학,16383990
006400,삼성SDI,12065746
068270,셀트리온,5008516
003670,포스코퓨처엠,4761866
028260,삼성물산,38764711
035720,카카오,10454493
012330,현대모비스,42685110
105560,KB금융,54574872
055550,신한지주,51743732
066570,LG전자,18510386
096770,SK이노베이션,18829301
032830,삼성생명,40647059
323410,카카오뱅크,6502324
011200,HMM,14664558
003550,LG,22901958
018260,삼성에스디에스,9965323
034730,SK,26058606
086790,하나금융지주,35245211
000810,삼성화재,22653785
015760,한국전력,55150550
138040,메리츠금융지주,8346731
033780,KT&G,9690979
329180,HD현대중공업,6223767
009150,삼성전기,7784404
047050,포스코인터내셔널,13721978
017670,SK텔레콤,12318585
010130,고려아연,7948456
034020,두산에너빌리티,7434250
352820,하이브,3814025
316140,우리금융지주,29622252
024110,기업은행,32611969
259960,크래프톤,5475454
030200,KT,16736623
003490,대한항공,7395356
009540,HD한국조선해양,16777392
090430,아모레퍼시픽,4262035
326030,SK바이오팜,618619
010950,S-Oil,5637239
042660,한화오션,8358270
402340,SK스퀘어,26108579
086280,현대글로비스,6774764
010140,삼성중공업,6433962
009830,한화솔루션,6722530
377300,카카오페이,1568547
011170,롯데케미칼,14562653
012450,한화에어로스페이스,4886384
001570,금양,670800
005830,DB손해보험,10044000
161390,한국타이어앤테크놀로지,11965804
361610,SK아이이테크놀로지,3289696
028050,삼성엔지니어링,2607339
302440,SK바이오사이언스,1575057
051900,LG생활건강,2464204
011070,LG이노텍,3149040
036570,엔씨소프트,1826970
000100,유한양행,2498929
251270,넷마블,5875174
267250,HD현대,7812909
241560,두산밥캣,6315698
180640,한진칼,3095729
047810,한국항공우주,1246485
004020,현대제철,21177265
097950,CJ제일제당,4877556
271560,오리온,2004430
006800,미래에셋증권,12829344
032640,LG유플러스,7204087
034220,LG디스플레이,13407565
128940,한미약품,958476
021240,코웨이,1981849
000720,현대건설,7196881
018880,한온시스템,2114892
029780,삼성카드,8923893
078930,GS,9500598
011780,금호석유,5419981
071050,한국금융지주,8133340
035250,강원랜드,2360723
005940,NH투자증권,8356363
383220,F&F,338316
272210,한화시스템,3684990
010620,현대미포조선,2173774
011790,SKC,2157779
016360,삼성증권,7474022
112610,씨에스윈드,913714
000120,CJ대한통운,5580250
267260,HD현대일렉트릭,1250242
064350,현대로템,1209660
006260,LS,5456436
003410,쌍용C&E,1638576
008930,한미사이언스,851650
004990,롯데지주,8868109
001450,현대해상,6024783
079550,LIG넥스원,1091635
001040,CJ,4918409
000990,DB하이텍,1782025
008770,호텔신라,470115
039490,키움증권,4659923
014680,한솔케미칼,857696
088350,한화생명,13655222
081660,휠라홀딩스,1896057
052690,한전기술,586040
002790,아모레G,2538844
007070,GS리테일,3399645
004370,농심,2633654
282330,BGF리테일,505429
138930,BNK금융지주,9998743
030000,제일기획,1047481
012750,에스원,1640253
175330,JB금융지주,6063878
010120,LS ELECTRIC,1960714
036460,한국가스공사,6514660
009420,한올바이오파마,415487
002380,KCC,6550190
028670,팬오션,2348961
023530,롯데쇼핑,8160219
111770,영원무역,2172691
139480,이마트,7908474
010060,OCI홀딩스,3339857
020150,롯데에너지머티리얼즈,801224
204320,HL만도,1904910
298050,효성첨단소재,724591
026960,동서,1305424
000880,한화,3939157
042670,HD현대인프라코어,1409374
185750,종근당,919113
004170,신세계,2973924
007310,오뚜기,1484381
017800,현대엘리베이,1683250
003230,삼양식품,664135
005850,에스엘,2368874
011210,현대위아,4426000
047040,대우건설,3250483
000080,하이트진로,968102
000150,두산,2281747
000240,한국앤컴퍼니,4231400
002710,TCC스틸,1070392
004000,롯데정밀화학,2267273
005420,코스모화학,349982
006110,삼아알미늄,419664
006280,녹십자,1264363
051600,한전KPS,1143470
073240,금호타이어,2276960
137310,에스디바이오센서,1024476
139130,DGB금융지주,6527491
145720,덴티움,491531
192820,코스맥스,956385
298020,효성티앤씨,1490192
336260,두산퓨얼셀,327469
375500,DL이앤씨,8205324
009240,한샘,1032020
120110,코오롱인더,2401176
001440,대한전선,367868
069620,대웅제약,442259
005300,롯데칠성,1114987
161890,한국콜마,857644
004800,효성,2615286
001740,SK네트웍스,3567697
006360,GS건설,3295985
000210,DL,3168035
001120,LX인터내셔널,1651513
280360,롯데웰푸드,1825000
003090,대웅,1035028
285130,SK케미칼,1658829
103140,풍산,1961700
093370,후성,283293
009970,영원무역홀딩스,2417218
069960,현대백화점,4180159
016380,KG스틸,1390748
014820,동원시스템즈,558770
010780,아이에스동서,1296146
009900,명신산업,394252
006650,대한유화,1912500
001800,오리온홀딩스,2078689
001430,세아베스틸지주,2784919
000670,영풍,3168310
300720,한일시멘트,1554132
271940,일진하이솔루스,271063
192080,더블유게임즈,910495
178920,PI첨단소재,344490
105630,한세실업,647692
069260,TKG휴켐스,798991
114090,GKL,273585
008730,율촌화학,301211
005250,녹십자홀딩스,1025215
004490,세방전지,1697500
039130,하나투어,85971
020560,아시아나항공,401176
031430,신세계인터내셔날,531146
032350,롯데관광개발,39858
001680,대상,1123355
019170,신풍제약,233341
