종목코드,종목명,자본
005930,삼성전자,238364466
000660,SK하이닉스,42840139
005380,현대차,70128839
005490,POSCO,60395048
051910,LG화학,17017797
035420,NAVER,6795623
105560,KB금융,46505739
012330,현대모비스,40637200
032830,삼성생명,44464286
207940,삼성바이오로직스,3817607
015760,한국전력,81636433
028260,삼성물산,26854994
055550,신한지주,41097298
017670,SK텔레콤,17671398
034730,SK,14749603
096770,SK이노베이션,20332482
051900,LG생활건강,2852540
090430,아모레퍼시픽,5115118
066570,LG전자,20407845
251270,넷마블게임즈,7318481
033780,KT&G,8858817
003550,LG,20393116
018260,삼성에스디에스,5449141
086790,하나금융지주,32757671
006400,삼성SDI,10264486
000270,기아차,26626808
010950,S-Oil,7935052
011170,롯데케미칼,15196812
000810,삼성화재,11095685
002790,아모레G,5382687
034220,LG디스플레이,23774864
000030,우리은행,20475000
036570,엔씨소프트,2611094
010130,고려아연,6790445
035720,카카오,5346821
024110,기업은행,19599260
030200,KT,11789003
004020,현대제철,21722008
139480,이마트,12184431
035250,강원랜드,3798535
009150,삼성전기,3931247
018880,한온시스템,2549766
021240,코웨이,1296051
008930,한미사이언스,901312
161390,한국타이어,8671255
128940,한미약품,862362
006800,미래에셋대우,9876529
267250,현대로보틱스,8273601
032640,LG유플러스,4158203
088350,한화생명,15388569
009540,현대중공업,8253442
078930,GS,9173551
023530,롯데쇼핑,11906994
001040,CJ,5141383
009830,한화케미칼,9299957
005830,DB손해보험,4667556
086280,현대글로비스,4214876
004800,효성,11948500
004990,롯데지주,7494942
097950,CJ제일제당,3396261
029780,삼성카드,7910366
047810,한국항공우주,1694210
271560,오리온,1138086
009240,한샘,1353389
001450,현대해상,3560847
002380,KCC,7182198
012750,에스원,1286681
000720,현대건설,4300228
036460,한국가스공사,6891084
071050,한국금융지주,4047466
005940,NH투자증권,4829116
282330,BGF리테일,400179
011070,LG이노텍,3245774
008770,호텔신라,727547
000120,CJ대한통운,1983682
016360,삼성증권,5106844
010060,OCI,4267782
003490,대한항공,3690220
000880,한화,4574688
138930,BNK금융지주,9030324
011780,금호석유,1906626
007070,GS리테일,2015000
000210,대림산업,3676308
004170,신세계,3991289
204320,만도,2868568
026960,동서,1987171
012630,현대산업,6604682
007310,오뚜기,1221427
028670,팬오션,2845469
010140,삼성중공업,5015263
008560,메리츠종금증권,2886258
006280,녹십자,1726247
047040,대우건설,2460486
000100,유한양행,1539055
006260,LS,4025000
069960,현대백화점,4614255
030000,제일기획,797018
028050,삼성엔지니어링,723333
000150,두산,1954391
120110,코오롱인더,3025984
047050,포스코대우,2799074
006360,GS건설,2048898
004370,농심,2533241
000670,영풍,4300763
069620,대웅제약,453808
010120,LS산전,1525781
000240,한국타이어월드와이드,3317134
003410,쌍용양회,1160121
005250,녹십자홀딩스,1206442
006120,SK케미칼,6493310
011210,현대위아,5702194
114090,GKL,626048
012450,한화테크윈,2397346
020150,일진머티리얼즈,494888
042670,두산인프라코어,1825757
051600,한전KPS,1107273
011790,SKC,1896908
000080,하이트진로,1742495
001740,SK네트웍스,3056385
001800,오리온홀딩스,2878386
192400,쿠쿠전자,919065
006650,대한유화,2518750
034020,두산중공업,4806468
161890,한국콜마,354624
004000,롯데정밀화학,1881371
003520,영진약품,176850
010620,현대미포조선,1457407
115390,락앤락,841994
079160,CJ CGV,556798
064350,현대로템,905540
003240,태광산업,2715459
005440,현대그린푸드,1759858
005610,SPC삼립,343623
214320,이노션,778723
057050,현대홈쇼핑,1877922
103140,풍산,2256192
111770,영원무역,1011457
017800,현대엘리베이,425400
009420,한올바이오파마,74981
185750,종근당,497387
079550,LIG넥스원,974519
014820,동원시스템즈,657962
001120,LG상사,2104668
001230,동국제강,3386323
002350,넥센타이어,1600668
003000,부광약품,141360
192820,코스맥스,196293
005300,롯데칠성,1130139
010780,아이에스동서,1205353
105630,한세실업,645509
003300,한일시멘트,4495750
000070,삼양홀딩스,2048708
001430,세아베스틸,2976557
001680,대상,917839
145990,삼양사,1768322
069260,휴켐스,590335
093050,LF,1365988
093370,후성,241716
052690,한전기술,519792
000640,동아쏘시오홀딩스,1076292
001060,JW중외제약,262100
005850,에스엘,1185279
006840,AK홀딩스,889665
170900,동아에스티,553295
020000,한섬,806890
049770,동원F&B,482906
108670,LG하우시스,1527651
014680,한솔케미칼,299964
003620,쌍용차,1009001
007570,일양약품,266990
019680,대교,667849
025540,한국단자,1105975
079430,현대리바트,657129
060980,한라홀딩스,1328096
064960,S&T모티브,1245625
073240,금호타이어,794455
029530,신도리코,1183470
000990,DB하이텍,502277
002240,고려제강,1736471
002270,롯데푸드,517293
002960,한국쉘석유,113455
003030,세아제강,2748571
096760,JW홀딩스,188769
004490,세방전지,878070
005180,빙그레,460454
025860,남해화학,390856
027410,BGF,1329789
033920,무학,777812
003920,남양유업,809419
000050,경방,907314
001520,동양,816876
003850,보령제약,241091
004710,한솔테크닉스,568054
097230,한진중공업,1170113
009290,광동제약,498567
014830,유니드,726004
034120,SBS,714892
036580,팜스코,473382
008060,대덕전자,566038
078520,에이블씨엔씨,315042
