종목코드,종목명,자본
005930,삼성전자,206228852
000660,SK하이닉스,82207540
373220,LG에너지솔루션,15249438
207940,삼성바이오로직스,11219954
005380,현대차,68301895
068270,셀트리온,5848021
000270,기아,39260425
105560,KB금융,74144332
035420,NAVER,21292649
329180,HD현대중공업,11761415
055550,신한지주,54520841
012330,현대모비스,37919552
010130,고려아연,19107801
005490,POSCO홀딩스,29090667
028260,삼성물산,25834956
138040,메리츠금융지주,9098574
032830,삼성생명,33857143
051910,LG화학,14232327
006400,삼성SDI,8910587
096770,SK이노베이션,27283702
035720,카카오,7149420
000810,삼성화재,16650862
086790,하나금융지주,46615091
009540,HD한국조선해양,18336670
011200,HMM,33824254
259960,크래프톤,8410582
012450,한화에어로스페이스,6764659
267260,HD현대일렉트릭,3825002
066570,LG전자,14087208
033780,KT&G,12431781
015760,한국전력,42904600
017670,SK텔레콤,12223104
042660,한화오션,2811926
024110,기업은행,34627615
003550,LG,21369191
316140,우리금융지주,34586761
034020,두산에너빌리티,7861432
030200,KT,20851228
003670,포스코퓨처엠,978447
402340,SK스퀘어,24285618
010140,삼성중공업,5404348
323410,카카오뱅크,4218567
018260,삼성에스디에스,6180552
000100,유한양행,3715110
034730,SK,20726315
009150,삼성전기,6004597
086280,현대글로비스,8435714
326030,SK바이오팜,350266
003490,대한항공,8491619
352820,하이브,2308171
042700,한미반도체,517913
005830,DB손해보험,7742809
047050,포스코인터내셔널,3614165
090430,아모레퍼시픽,2947135
010950,S-Oil,6426601
267250,HD현대,10427087
003230,삼양식품,1618752
047810,한국항공우주,1569321
010620,HD현대미포,3371218
064350,현대로템,2839985
021240,코웨이,2758209
180640,한진칼,2542362
051900,LG생활건강,4291486
010120,LS ELECTRIC,3495652
161390,한국타이어앤테크놀로지,7550481
079550,LIG넥스원,1595724
006800,미래에셋증권,10217589
450080,에코프로머티,132128
251270,넷마블,5107811
005940,NH투자증권,9137036
034220,LG디스플레이,9923913
032640,LG유플러스,8352213
029780,삼성카드,10387802
272210,한화시스템,2635542
000150,두산,4530729
241560,두산밥캣,4158851
036570,엔씨소프트,2627308
071050,한국금융지주,8453751
016360,삼성증권,7062818
302440,SK바이오사이언스,1245648
011790,SKC,2235931
271560,오리온,2249167
011070,LG이노텍,2882760
097950,CJ제일제당,4995253
078930,GS,11779271
298040,효성중공업,2364224
128940,한미약품,701852
377300,카카오페이,973598
035250,강원랜드,3596453
454910,두산로보틱스,25696
138930,BNK금융지주,14405722
028050,삼성E&A,1537346
036460,한국가스공사,15253624
175330,JB금융지주,6616571
006260,LS,4744469
039490,키움증권,4943672
001040,CJ,4740067
009830,한화솔루션,3298700
026960,동서,2330594
000720,현대건설,5545953
004020,현대제철,10803977
011170,롯데케미칼,6731500
081660,휠라홀딩스,1953115
011780,금호석유,3869553
004990,롯데지주,8470448
001450,현대해상,3807207
004370,농심,2230302
012750,에스원,1691392
002380,KCC,6341709
001440,대한전선,1443672
000880,한화,4200812
383220,F&F,563706
088350,한화생명,6892206
052690,한전기술,465669
051600,한전KPS,1575000
018880,한온시스템,1230194
017800,현대엘리베이,1338850
009420,한올바이오파마,151244
008930,한미사이언스,548810
006280,녹십자,1942346
000120,CJ대한통운,2711777
111770,영원무역,2646206
204320,HL만도,2219543
030000,제일기획,1226383
282330,BGF리테일,750678
005070,코스모신소재,92045
002790,아모레G,2198885
139480,이마트,9818483
192820,코스맥스,685106
028670,팬오션,4009270
112610,씨에스윈드,532223
000240,한국앤컴퍼니,4227116
006360,GS건설,5710919
007310,오뚜기,2085654
023530,롯데쇼핑,6956464
361610,SK아이이테크놀로지,620757
004170,신세계,3117640
005850,에스엘,1386557
001570,금양,27171
073240,금호타이어,993962
139130,DGB금융지주,5124493
161890,한국콜마,703049
069620,대웅제약,687579
042670,HD현대인프라코어,1354489
008770,호텔신라,315524
007070,GS리테일,2378486
000080,하이트진로,1014080
103140,풍산,2413471
003090,대웅,1207564
137310,에스디바이오센서,3199068
185750,종근당,437509
192080,더블유게임즈,1072805
047040,대우건설,2805452
014820,동원시스템즈,840539
010060,OCI홀딩스,1757325
009970,영원무역홀딩스,2578366
375500,DL이앤씨,3554286
009240,한샘,588967
005300,롯데칠성,980410
004000,롯데정밀화학,1586297
336260,두산퓨얼셀,287956
004490,세방전지,1572812
298020,효성티앤씨,801795
011210,현대위아,1976873
014680,한솔케미칼,340407
001120,LX인터내셔널,2230762
300720,한일시멘트,1648652
280360,롯데웰푸드,1949811
069960,현대백화점,4276844
005250,녹십자홀딩스,1131290
001740,SK네트웍스,1639827
039130,하나투어,132966
001800,오리온홀딩스,2301073
298050,HS효성첨단소재,310396
002840,미원상사,370539
145720,덴티움,227974
120110,코오롱인더,1436813
114090,GKL,313251
069260,TKG휴켐스,627910
003620,KG모빌리티,500300
003030,세아제강지주,1168077
002710,TCC스틸,98482
001680,대상,1166484
001430,세아베스틸지주,1507734
000210,DL,2283469
285130,SK케미칼,1273905
105630,한세실업,368052
093370,후성,172684
008730,율촌화학,217525
178920,PI첨단소재,189312
006110,삼아알미늄,58726
005420,코스모화학,90686
271940,일진하이솔루스,193869
006650,대한유화,990294
