종목코드,종목명,자산
005930,삼성전자,168969630000000
000660,SK하이닉스,28742198000000
005380,현대차,66978224000000
012450,한화에어로스페이스,4002920483707
034020,두산에너빌리티,11685624206868
000270,기아,33986396000000
068270,셀트리온,2517717473793
028260,삼성물산,34157943261452
035420,NAVER,3383717649000
042660,한화오션,17074991605058
012330,현대모비스,22837944000000
015760,한국전력,106306250000000
009540,HD한국조선해양,30184780734000
035720,카카오,3117064029191
010130,고려아연,5423762309128
005490,POSCO홀딩스,51309408699468
051910,LG화학,16231596000000
006400,삼성SDI,14656786510207
010140,삼성중공업,16292309952788
064350,현대로템,4595732898000
011200,HMM,5854097000000
009150,삼성전기,5322845313737
034730,SK,17593083000000
096770,SK이노베이션,14474189652000
033780,KT&G,7401609375583
003670,포스코퓨처엠,653689140872
066570,LG전자,25866375000000
010120,LS ELECTRIC,2107925176628
086280,현대글로비스,6547752525426
030200,KT,24222495000000
018260,삼성에스디에스,5285074637667
000150,두산,3478222671183
003550,LG,8208765000000
042700,한미반도체,241383462844
017670,SK텔레콤,23146940000000
047810,한국항공우주,2808013000000
010950,S-Oil,10784946000000
079550,LIG넥스원,1754053470221
003230,삼양식품,281105978608
047050,포스코인터내셔널,7474312056000
007660,이수페타시스,373561010544
000100,유한양행,1584414837788
003490,대한항공,23048939945281
180640,한진칼,1633721778071
000720,현대건설,12487460000000
161390,한국타이어앤테크놀로지,5909355631448
090430,아모레퍼시픽,3974683460539
006260,LS,2211482000000
032640,LG유플러스,11939224000000
021240,코웨이,1742357393780
011070,LG이노텍,3598752652624
000880,한화,7588299000000
034220,LG디스플레이,20210693000000
128940,한미약품,1484679810848
078930,GS,5856373000000
001040,CJ,2951841981000
028050,삼성E&A,4616490224673
009830,한화솔루션,6976183948500
036570,엔씨소프트,2101635883378
001440,대한전선,1194838757000
022100,포스코DX,652489485789
004020,현대제철,30029727913412
011790,SKC,2635264803264
035250,강원랜드,3688060027003
051900,LG생활건강,2952552620792
066970,엘앤에프,109094064175
002380,KCC,8391078321590
111770,영원무역,1358084404221
082740,한화엔진,1355773319203
052690,한전기술,839120534511
036460,한국가스공사,40389768735677
017800,현대엘리베이터,1474793936477
097950,CJ제일제당,6409351926000
071970,HD현대마린엔진,1416330344538
011780,금호석유화학,3133195697618
011170,롯데케미칼,10525249375017
012750,에스원,1371979845447
204320,HL만도,2756020642695
103140,풍산,2331791251808
009970,영원무역홀딩스,430266335972
008930,한미사이언스,620989635527
004370,농심,2257471088382
004170,신세계,5405620292796
000240,한국앤컴퍼니,2666933000908
081660,미스토홀딩스,705599674077
030000,제일기획,1113192389451
026960,동서,1032915001798
014680,한솔케미칼,413287590459
000120,CJ대한통운,3735984486275
139480,이마트,13247431258918
028670,팬오션,4228195000000
051600,한전KPS,1029304245081
002790,아모레퍼시픽홀딩스,1694935538465
009420,한올바이오파마,117058645287
011210,현대위아,5986181896065
010060,OCI홀딩스,5229793782000
001430,세아베스틸지주,2482589543283
005850,에스엘,776288870435
006040,동원산업,1088048225186
006280,녹십자,1323117870079
008770,호텔신라,2213549595266
018880,한온시스템,2340103464804
023530,롯데쇼핑,26020706390648
069620,대웅제약,819336096050
069960,현대백화점,4585422226000
112610,씨에스윈드,364187871334
192820,코스맥스,266152320313
034230,파라다이스,1147897715165
017960,한국카본,345603706797
007340,DN오토모티브,641585975108
007310,오뚜기,1230861639370
007070,GS리테일,3590748817420
006360,GS건설,11831693042266
073240,금호타이어,3322591982698
161890,한국콜마,318645576971
047040,대우건설,9650768537829
004000,롯데정밀화학,1637407751882
000080,하이트진로,3336555972704
003090,대웅,329324956296
071320,지역난방공사,4843831863638
192080,더블유게임즈,382513664476
001800,오리온홀딩스,1424076224460
005300,롯데칠성,4243629687486
120110,코오롱인더,3583909465442
185750,종근당,576286704427
006650,대한유화,1463994228816
004490,세방전지,993659177883
003240,태광산업,2545069165110
000670,영풍,2078784714570
009240,한샘,708545758290
114090,GKL,650518244338
093370,후성,232929523210
001680,대상,1597455104404
003030,세아제강지주,1591178586964
002840,미원상사,165620883698
002030,아세아,399798687233
005250,녹십자홀딩스,829703431731
014820,동원시스템즈,681897914945
005420,코스모화학,421946224279
008730,율촌화학,515207691713
069260,TKG휴켐스,667984009007
000210,DL,10250167914829
