종목코드,종목명,자산
005930,삼성전자,324966127000000
000660,SK하이닉스,112412580000000
005380,현대차,96143628000000
015760,한국전력,139472103000000
012330,현대모비스,37524213000000
035420,NAVER,17597111016833
028260,삼성물산,41320881307887
005490,POSCO,50633797437470
090430,아모레퍼시픽,5378005124117
017670,SK텔레콤,24585626000000
034730,SK,27233092000000
000270,기아차,57236596000000
033780,KT&G,11101436000000
096770,SK이노베이션,35027981216000
034220,LG디스플레이,29799051000000
009540,현대중공업,12057257410000
002790,아모레G,2117253752743
018260,삼성에스디에스,8373409692440
003550,LG,9927915000000
010950,S-Oil,24369317000000
010130,고려아연,12248407927207
066570,LG전자,34898482000000
004020,현대제철,31563136787916
035250,강원랜드,4684780088389
030200,KT,29528880000000
006400,삼성SDI,21552149591601
161390,한국타이어,8454089153331
023530,롯데쇼핑,30605255139072
021240,코웨이,4141569462808
047810,한국항공우주,7945432183785
018880,한온시스템,7381072399734
036570,엔씨소프트,3881611702087
001040,CJ,3470365667000
139480,이마트,19655652151999
004800,효성,2591461236720
032640,LG유플러스,18733345000000
078930,GS,6981025000000
097950,CJ제일제당,10911471995000
000720,현대건설,16860166000000
009240,한샘,908233078074
036460,한국가스공사,53400451000000
027410,BGF리테일,1646679840918
009830,한화케미칼,19347502549464
001800,오리온,2043815193333
002380,KCC,10299544778844
009150,삼성전기,8870813918647
010140,삼성중공업,16997853680045
007070,GS리테일,7155550486165
008930,한미사이언스,776112877371
012630,현대산업,2418101078989
012750,에스원,2231491876411
128940,한미약품,1412812876438
034020,두산중공업,13756874000000
000880,한화,10042069000000
004990,롯데제과,8741456194710
069960,현대백화점,7720051340000
011780,금호석유,4673089102327
051600,한전KPS,1675775785632
007310,오뚜기,2561725637673
000100,유한양행,2445929304349
204320,만도,3951482450745
000150,두산,5053526000000
047040,대우건설,10609984143290
011070,LG이노텍,9862839000000
000670,영풍,2662770231576
003490,대한항공,33572287433065
028050,삼성엔지니어링,6941557271716
011210,현대위아,5476280000000
004370,농심,3031966785987
000240,한국타이어월드와이드,3173056485673
006260,LS,5405313000000
120110,코오롱인더,5679171733907
042670,두산인프라코어,3805953282002
008770,호텔신라,3178021145960
001740,SK네트웍스,3587624000000
004170,신세계,8835183657512
030000,제일기획,1245834175610
006650,대한유화,2036229109942
005300,롯데칠성,3454348852398
006120,SK케미칼,1801576178737
003520,영진약품,234257972953
064350,현대로템,5012055314000
000080,하이트진로,3188296722457
005610,SPC삼립,920805898164
161890,한국콜마,1410732242172
017800,현대엘리베이,2607542423369
014820,동원시스템즈,1483558826089
003410,쌍용양회,3119047228355
111770,영원무역,2807729909269
057050,현대홈쇼핑,1892174553036
073240,금호타이어,3628589421176
010780,아이에스동서,2989505878105
002350,넥센타이어,3580502137347
002620,제일약품,382178001620
010120,LS산전,3456973121717
192400,쿠쿠전자,647517126031
042660,대우조선해양,17407209942884
114090,GKL,610043151971
001120,LG상사,4672362463857
001230,동국제강,678971075108
003240,태광산업,3904819165776
192820,코스맥스,1188972655478
103140,풍산,3627470037721
145990,삼양사,2574888131486
003620,쌍용차,3056864898491
000070,삼양홀딩스,2643732656279
000640,동아쏘시오홀딩스,970170534993
001060,JW중외제약,582644563544
185750,종근당,1430387083843
014680,한솔케미칼,1152744618476
105630,한세실업,1143262900774
003000,부광약품,370079974109
001430,세아베스틸,1775847756905
001680,대상,3082290585340
170900,동아에스티,1334662797953
052690,한전기술,945383855972
069260,휴켐스,1068973693524
108670,LG하우시스,1865077000000
020000,한섬,1766639979024
002240,고려제강,1442411875271
004000,롯데정밀화학,2514187371398
005850,에스엘,2409974007666
115390,락앤락,532534504482
025540,한국단자,1283928705000
049770,동원F&B,1455360211038
069620,대웅제약,1737151499847
007570,일양약품,389560242903
000990,동부하이텍,2146936858610
001520,동양,1116306128259
005180,빙그레,943667131800
009420,한올바이오파마,213092943543
093370,후성,462012279754
033920,무학,674666098344
060980,한라홀딩스,2178792133768
064960,S&T모티브,1230804991604
093050,LF,1978740071437
019680,대교,542524168324
002960,한국쉘석유,191296096831
003030,세아제강,861979312610
003300,한일시멘트,885951360488
003850,보령제약,1144232073292
004490,세방전지,1763802958780
007340,동아타이어,1907752280000
020150,일진머티리얼즈,722015744501
003920,남양유업,793512158874
000050,경방,1130804777097
001780,알루코,446556027914
005740,크라운제과,356289032691
008060,대덕전자,531289442421
008490,서흥,555258639515
014830,유니드,865944257988
034120,SBS,1112171109999
036580,팜스코,911649256998
009290,광동제약,932388741422
000140,하이트진로홀딩스,1631449189360
003200,일신방직,675176367868
003570,S&T중공업,1010401253958
004710,한솔테크닉스,523373477623
104700,한국철강,899069317215
007210,벽산,483381941666
007690,국도화학,1353451937303
078520,에이블씨엔씨,145602050768
097230,한진중공업,2202247000000
005090,삼광글라스,1692901072300
000230,일동홀딩스,296437265007
