종목코드,종목명,자산
005930,삼성전자,198241360000000
000660,SK하이닉스,44312846000000
207940,삼성바이오로직스,7183091162578
005380,현대차,70075274000000
005490,POSCO홀딩스,53692257509875
000270,기아,38605013000000
035420,NAVER,5342354582361
051910,LG화학,21148136000000
006400,삼성SDI,13134937701171
068270,셀트리온,3138184504740
003670,포스코퓨처엠,791424307196
028260,삼성물산,39678100463885
035720,카카오,4956877856097
012330,현대모비스,25362373000000
066570,LG전자,28159781000000
096770,SK이노베이션,14795190020000
011200,HMM,3409882000000
003550,LG,9238893000000
018260,삼성에스디에스,5678285309291
034730,SK,19959061000000
015760,한국전력,106540154000000
033780,KT&G,8664675097526
009150,삼성전기,4943603524854
047050,포스코인터내셔널,8181642237000
017670,SK텔레콤,25557522000000
010130,고려아연,6304117204280
034020,두산에너빌리티,11610156476366
030200,KT,23334923000000
003490,대한항공,23423066864621
009540,HD한국조선해양,19930215070000
090430,아모레퍼시픽,4786271660889
010950,S-Oil,15077563000000
042660,한화오션,11022743788752
086280,현대글로비스,7080908201674
010140,삼성중공업,13249440814716
009830,한화솔루션,7483613842871
011170,롯데케미칼,15269369483103
012450,한화에어로스페이스,3793914511824
001570,금양,167120998153
161390,한국타이어앤테크놀로지,6015970961141
028050,삼성엔지니어링,4195720724027
051900,LG생활건강,3485163640049
011070,LG이노텍,5391209318156
036570,엔씨소프트,3461508054225
000100,유한양행,1810455414168
251270,넷마블,4811061973560
267250,HD현대,7750711883000
241560,두산밥캣,3264074033000
180640,한진칼,1923442121925
047810,한국항공우주,3164601115490
004020,현대제철,31189897494620
097950,CJ제일제당,7199609055000
271560,오리온,1138455473054
032640,LG유플러스,11948222000000
034220,LG디스플레이,25409415000000
128940,한미약품,1391144701263
021240,코웨이,2150385491645
000720,현대건설,11517279000000
018880,한온시스템,2879446244881
078930,GS,6201620000000
011780,금호석유,3378438938830
035250,강원랜드,4182527382369
010620,현대미포조선,3758029548000
011790,SKC,2690926469665
112610,씨에스윈드,341125072054
000120,CJ대한통운,4726069356007
267260,HD현대일렉트릭,2083375719408
064350,현대로템,3706050066000
006260,LS,2208999000000
003410,쌍용C&E,2999672693105
008930,한미사이언스,629759314579
079550,LIG넥스원,2006861012899
001040,CJ,2843584297000
000990,DB하이텍,977575053637
008770,호텔신라,2261641205033
014680,한솔케미칼,497325652719
081660,휠라홀딩스,666259923685
052690,한전기술,762165844164
002790,아모레G,1743451596577
007070,GS리테일,3882471359087
004370,농심,2317377704387
282330,BGF리테일,1231046501300
030000,제일기획,1202886604072
012750,에스원,1556037332631
010120,LS ELECTRIC,2086912498913
036460,한국가스공사,35330024259325
009420,한올바이오파마,168615342283
002380,KCC,9207335729496
028670,팬오션,3820957000000
023530,롯데쇼핑,22820866672560
111770,영원무역,1413684082736
139480,이마트,14346891083552
010060,OCI홀딩스,5268314789000
020150,롯데에너지머티리얼즈,560688000000
204320,HL만도,2709747614862
026960,동서,1351455235112
000880,한화,7479345000000
042670,HD현대인프라코어,5053900779053
185750,종근당,664781405513
004170,신세계,6071901542490
007310,오뚜기,1405801127094
017800,현대엘리베이,1698596762225
003620,KG모빌리티,2249975636090
003230,삼양식품,381491867047
005850,에스엘,906669109871
011210,현대위아,6173751319864
047040,대우건설,8247700979837
000080,하이트진로,3403415556400
000150,두산,3950029378836
000240,한국앤컴퍼니,2288702912071
002710,TCC스틸,248896237224
004000,롯데정밀화학,1582474808674
005420,코스모화학,241006048405
006110,삼아알미늄,191185392829
006280,녹십자,1575759045895
051600,한전KPS,1195085634406
073240,금호타이어,3216711279036
145720,덴티움,314946878259
192820,코스맥스,515856102463
009240,한샘,935683265329
120110,코오롱인더,4043326293630
001440,대한전선,1237437015000
069620,대웅제약,1053517341114
005300,롯데칠성,3431725840831
161890,한국콜마,542364879053
004800,효성,7844283138126
001740,SK네트웍스,6417584000000
006360,GS건설,12711359402259
000210,DL,10637713334380
001120,LX인터내셔널,2728803699786
280360,롯데웰푸드,1851479504655
003090,대웅,337100219569
285130,SK케미칼,1660155027238
103140,풍산,2449952674077
093370,후성,285241564563
009970,영원무역홀딩스,454115572023
069960,현대백화점,4941793010000
016380,KG스틸,2323882283082
014820,동원시스템즈,696996751574
010780,아이에스동서,2015578240249
006650,대한유화,1900767237915
001800,오리온홀딩스,1907981603396
001430,세아베스틸지주,2485388744550
000670,영풍,2213267017602
192080,더블유게임즈,419734962173
178920,PI첨단소재,341155484618
105630,한세실업,919816930949
069260,TKG휴켐스,868634129924
114090,GKL,731904311255
008730,율촌화학,577661653550
005250,녹십자홀딩스,958660032490
004490,세방전지,1133087030136
039130,하나투어,459620491922
020560,아시아나항공,7120883795829
031430,신세계인터내셔날,854969239206
032350,롯데관광개발,390424459408
001680,대상,1894468926421
019170,신풍제약,384825588193
