종목코드,종목명,자산
005930,삼성전자,251112184000000
000660,SK하이닉스,84972544000000
035420,NAVER,12962420565909
207940,삼성바이오로직스,5903411708929
005380,현대차,79758300000000
012330,현대모비스,32576208000000
068270,셀트리온,5315369383748
051910,LG화학,30929152000000
005490,POSCO,64242758955889
028260,삼성물산,44180917710443
051900,LG생활건강,5112381321495
017670,SK텔레콤,26389065000000
034730,SK,27216975000000
000270,기아차,45188766000000
015760,한국전력,115578517000000
006400,삼성SDI,16844996871874
018260,삼성에스디에스,6850930055536
096770,SK이노베이션,18467371516000
035720,카카오,10029502863845
033780,KT&G,9781651431121
003550,LG,9708699000000
036570,엔씨소프트,4489052527960
066570,LG전자,29593524000000
090430,아모레퍼시픽,5291052655630
010950,S-Oil,18653556000000
009540,한국조선해양,11109138358000
010130,고려아연,8321229495058
251270,넷마블,9115218196889
011170,롯데케미칼,17427438053752
030200,KT,29362369000000
021240,웅진코웨이,3240649063376
002790,아모레G,2115979028440
035250,강원랜드,3817618525429
032640,LG유플러스,18231505000000
018880,한온시스템,4701205491310
034220,LG디스플레이,29478122000000
267250,현대중공업지주,8113257344000
086280,현대글로비스,10057010594625
078930,GS,6330030000000
000720,현대건설,13291471000000
010140,삼성중공업,11892137566148
004020,현대제철,34181265225130
271560,오리온,1268634936224
161390,한국타이어앤테크놀로지,6620616159759
004990,롯데지주,8304048991156
097950,CJ제일제당,10611822485000
023530,롯데쇼핑,24226350269092
028050,삼성엔지니어링,4231577720389
000120,CJ대한통운,7089102548231
012750,에스원,1899472792349
008770,호텔신라,2220067706303
241560,두산밥캣,3901017457000
128940,한미약품,1458248173376
036460,한국가스공사,41031612567742
047810,한국항공우주,5794631717908
011070,LG이노텍,6989346973560
081660,휠라코리아,774385253839
000210,대림산업,3710068298557
000100,유한양행,2201518256252
009830,한화케미칼,15310059703385
007070,GS리테일,7678930254664
282330,BGF리테일,2522959710810
042660,대우조선해양,10440796983027
001040,CJ,3187152887000
030000,제일기획,1289135277780
004170,신세계,7721030611590
003410,쌍용양회,3042617621433
003490,대한항공,26193031954800
002380,KCC,8810372411563
028670,팬오션,6343764000000
008930,한미사이언스,600639549460
006360,GS건설,12829912597014
047050,포스코인터내셔널,9144514594000
011780,금호석유,4648774192841
000080,하이트진로,3431331128793
007310,오뚜기,2175601164831
009420,한올바이오파마,198274030144
011790,SKC,3217745321852
069960,현대백화점,6661268373000
020150,일진머티리얼즈,864404421762
047040,대우건설,9192699186815
017800,현대엘리베이,2277955401921
010620,현대미포조선,3857973375000
051600,한전KPS,1420704554677
026960,동서,1561312543524
012450,한화에어로스페이스,5140204462835
004800,효성,3114280899379
204320,만도,3253030772969
010120,LS산전,2479393759513
001740,SK네트웍스,5680546000000
006260,LS,4028895000000
006280,녹십자,1925626161216
111770,영원무역,1871208774429
031430,신세계인터내셔날,1053099870936
069620,대웅제약,1259655413872
010060,OCI,3523644465000
004370,농심,2544772941379
009240,한샘,1079912025066
214320,이노션,934428240787
120110,코오롱인더,4319882810163
011210,현대위아,5752505000000
000240,한국테크놀로지그룹,2959395755519
064350,현대로템,4034258239000
000990,DB하이텍,1548223596666
000150,두산,5308286886653
000670,영풍,2559877502006
001800,오리온홀딩스,1943949717688
003240,태광산업,4080349706412
003520,영진약품,194095213047
004000,롯데정밀화학,2091577816754
294870,HDC현대산업개발,6368331836071
005440,현대그린푸드,1771645852000
014680,한솔케미칼,947517041440
034020,두산중공업,14031871118985
042670,두산인프라코어,3503272218899
073240,금호타이어,2553456371085
114090,GKL,526147368386
005300,롯데칠성,3458542832095
005250,녹십자홀딩스,1066673354577
010780,아이에스동서,3036486065301
185750,종근당,1017135387860
161890,한국콜마,993241287755
170900,동아에스티,1115282177058
057050,현대홈쇼핑,1748035645279
002350,넥센타이어,2826255915726
003000,부광약품,406936093839
069260,휴켐스,923798220206
049770,동원F&B,1330982098898
005850,에스엘,1733600072444
001680,대상,2627406793984
285130,SK케미칼,1987149917899
005610,SPC삼립,953617804735
006650,대한유화,2316879619058
008060,대덕전자,540933463632
014820,동원시스템즈,1367773224534
018250,애경산업,427116715832
020000,한섬,1556094734620
052690,한전기술,705042789516
071840,롯데하이마트,2943544893057
079160,CJ CGV,2019521792652
093370,후성,429789300192
115390,락앤락,612977028092
192400,쿠쿠홀딩스,629624205033
192820,코스맥스,932063351342
003850,보령제약,808103828889
000640,동아쏘시오홀딩스,985709393346
001060,JW중외제약,553126252989
001120,LG상사,3019044207922
105630,한세실업,1041016490574
064960,S&T모티브,1136568771465
079550,LIG넥스원,2569030458814
103140,풍산,2809432644815
012630,HDC,2296341996486
000070,삼양홀딩스,2090165000000
145990,삼양사,2188296000000
001430,세아베스틸,2579116662566
002270,롯데푸드,1275100225515
004490,세방전지,1477894479608
005180,빙그레,726485690882
006120,SK디스커버리,1561634946118
006390,한일현대시멘트,596793705254
006840,AK홀딩스,769013515282
019680,대교,736567687494
027410,BGF,1556972755359
060980,한라홀딩스,1903776269572
093050,LF,1838417504590
108670,LG하우시스,2079719000000
001230,동국제강,5952755753727
001520,동양,970047654722
002240,고려제강,1398329842009
002960,한국쉘석유,165711579705
096760,JW홀딩스,392994243152
014830,유니드,1002743918011
025540,한국단자,977861146555
025860,남해화학,714905509427
007570,일양약품,371760845469
003620,쌍용차,1857761966770
298040,효성중공업,3034354453073
079430,현대리바트,853832893003
003920,남양유업,999213819319
