종목코드,종목명,자산
005930,삼성전자,216180920000000
000660,SK하이닉스,57710070000000
035420,NAVER,6671587333782
207940,삼성바이오로직스,5911626511920
035720,카카오,6484360616810
006400,삼성SDI,14986191799753
005380,현대차,73758825000000
051910,LG화학,27027086000000
000270,기아,38356281000000
068270,셀트리온,3674522702268
012330,현대모비스,29800298000000
005490,POSCO,55710766417120
066570,LG전자,27474891000000
028260,삼성물산,36561826429383
096770,SK이노베이션,16355886773000
034730,SK,22535086000000
051900,LG생활건강,4093775064826
015760,한국전력,109809255000000
036570,엔씨소프트,3185181620959
011200,HMM,6343498000000
003550,LG,9577961000000
017670,SK텔레콤,30839367000000
018260,삼성에스디에스,6576533956488
003670,포스코케미칼,1620828354833
033780,KT&G,9112777639505
034020,두산중공업,11107164247607
251270,넷마블,4511543912779
003490,대한항공,25758375651570
090430,아모레퍼시픽,4950233654909
010130,고려아연,6942417553567
010950,S-Oil,16455433000000
034220,LG디스플레이,27382680000000
011070,LG이노텍,5070125626985
030200,KT,27733854000000
011170,롯데케미칼,14396226786211
018880,한온시스템,4417199126048
011790,SKC,2833521463248
009540,한국조선해양,11272534689000
086280,현대글로비스,8460175297516
020150,일진머티리얼즈,647032000000
032640,LG유플러스,16834279000000
097950,CJ제일제당,10677387530000
004020,현대제철,32025224294707
021240,코웨이,2693165171788
035250,강원랜드,4436461952870
011780,금호석유,3137664764721
000720,현대건설,11302918000000
010140,삼성중공업,13259469293532
161390,한국타이어앤테크놀로지,6069618535095
028050,삼성엔지니어링,3686124041219
000100,유한양행,1931965072195
139480,이마트,15251432103260
267250,현대중공업지주,8583906445000
271560,오리온,1190809872307
180640,한진칼,1907568534338
241560,두산밥캣,3143651545000
003410,쌍용C&E,2923004937024
078930,GS,6172968000000
002790,아모레G,2038709896357
008930,한미사이언스,608190469945
036460,한국가스공사,37259513823999
128940,한미약품,1544610335047
014680,한솔케미칼,744955631470
006360,GS건설,11474687207864
000990,DB하이텍,1089400761384
047810,한국항공우주,4320002471855
336260,두산퓨얼셀,495760902227
052690,한전기술,735206870620
007070,GS리테일,5587119618578
204320,만도,2806053322183
004990,롯데지주,7796179617620
008770,호텔신라,3071696461839
026960,동서,1456823840782
272210,한화시스템,2406651686563
028670,팬오션,4394868000000
012750,에스원,1751616976738
010620,현대미포조선,3392554837000
112610,씨에스윈드,499193668089
002380,KCC,9199571692104
000120,CJ대한통운,6664692967043
047050,포스코인터내셔널,7721111383000
298050,효성첨단소재,1111386799715
285130,SK케미칼,1902471751953
030000,제일기획,1226491626480
001040,CJ,2980312113000
004170,신세계,7265903910527
006280,녹십자,1742374171346
010060,OCI,3796677716000
012450,한화에어로스페이스,4357480780305
023530,롯데쇼핑,26964266332882
042660,대우조선해양,11067648301949
047040,대우건설,8734473025223
282330,BGF리테일,2114202246150
298020,효성티앤씨,1390922091349
064350,현대로템,3760024256000
000080,하이트진로,3132012662502
093370,후성,414665471877
011210,현대위아,5791649000000
081660,휠라홀딩스,814761458929
000150,두산,4752375845002
004000,롯데정밀화학,1713829988675
120110,코오롱인더,4059763205659
004800,효성,2118763093510
111770,영원무역,1839140306482
004370,농심,2496940454156
003090,대웅,348607410938
006260,LS,3502957000000
007310,오뚜기,1701081586665
010120,LS ELECTRIC,2328541202629
178920,PI첨단소재,392965082107
019170,신풍제약,384245650403
051600,한전KPS,1356983047578
069620,대웅제약,1099982039195
069960,현대백화점,5795560155000
017800,현대엘리베이,1930969966710
000240,한국앤컴퍼니,2333723848785
001230,동국제강,5334291668100
001440,대한전선,1193509533000
005850,에스엘,1542762739615
294870,HDC현대산업개발,4407263472432
014820,동원시스템즈,750864058523
020560,아시아나항공,12013808762321
079550,LIG넥스원,2315222479273
000210,DL,10072030499443
001740,SK네트웍스,7673322000000
005250,녹십자홀딩스,928991658063
185750,종근당,780736005139
010780,아이에스동서,2455273416009
042670,현대두산인프라코어,4965757487863
073240,금호타이어,2874759140721
005300,롯데칠성,3184578602886
000670,영풍,2282953196769
003240,태광산업,3068983391106
004490,세방전지,1302078781195
006650,대한유화,1898563929998
192080,더블유게임즈,692039878453
013890,지누스,468555415267
016380,KG동부제철,2045911368087
032350,롯데관광개발,569712213030
009420,한올바이오파마,191071350802
001120,LX인터내셔널,2527925654311
284740,쿠쿠홈시스,557976653714
003000,부광약품,400104004506
003520,영진약품,200445669435
003850,보령제약,511049761184
006120,SK디스커버리,1119310492362
020000,한섬,1322203767889
031430,신세계인터내셔날,1011909930321
069260,휴켐스,893230018742
079160,CJ CGV,2311282516146
103140,풍산,2277278442199
105630,한세실업,864406800309
161890,한국콜마,1006724224866
192820,코스맥스,750534414642
241590,화승엔터프라이즈,240826503996
001800,오리온홀딩스,1930161015879
000070,삼양홀딩스,1607953000000
001680,대상,2207996551809
002350,넥센타이어,2644615299809
005440,현대그린푸드,1695521102000
192400,쿠쿠홀딩스,599296613066
049770,동원F&B,1159056111419
057050,현대홈쇼핑,1697081647502
064960,SNT모티브,1020642968314
114090,GKL,906069881039
006040,동원산업,1569581618773
