종목코드,종목명,자산
005930,삼성전자,219021357000000
207940,삼성바이오로직스,5980408648293
000660,SK하이닉스,60980608000000
051910,LG화학,23730578000000
006400,삼성SDI,15306118083143
005380,현대차,69408737000000
035420,NAVER,5928592453256
000270,기아,37149602000000
035720,카카오,6202838878843
005490,POSCO홀딩스,54125979686154
068270,셀트리온,3370639261764
028260,삼성물산,33881783528707
012330,현대모비스,27177757000000
066570,LG전자,27865463000000
096770,SK이노베이션,15846830095000
015760,한국전력,107486379000000
034730,SK,21376668000000
003670,포스코케미칼,837865593455
033780,KT&G,8729915634269
003550,LG,9327642000000
010130,고려아연,6454453448516
051900,LG생활건강,3687211659758
017670,SK텔레콤,28848023000000
036570,엔씨소프트,2882011624548
034020,두산에너빌리티,11245649786266
009150,삼성전기,5448882581117
018260,삼성에스디에스,6178103175232
011200,HMM,3884416000000
010950,S-Oil,16081512000000
030200,KT,26010906000000
003490,대한항공,24368468723081
009830,한화솔루션,7820589804467
090430,아모레퍼시픽,4678941054908
011170,롯데케미칼,15201889278985
086280,현대글로비스,7382050860372
011070,LG이노텍,5062817016686
097950,CJ제일제당,8589526374000
251270,넷마블,4576377599710
271560,오리온,1163673067524
009540,한국조선해양,19677950990000
047810,한국항공우주,3735000646178
035250,강원랜드,4229630540659
032640,LG유플러스,13955097000000
010140,삼성중공업,13669099019540
267250,HD현대,8150735598000
034220,LG디스플레이,27062106000000
028050,삼성엔지니어링,3994758422362
018880,한온시스템,3518374752227
021240,코웨이,2331880543733
000100,유한양행,1920025481950
078930,GS,6236061000000
004020,현대제철,31188536288738
000720,현대건설,11287867000000
161390,한국타이어앤테크놀로지,6284507359403
011780,금호석유,3141279400312
282330,BGF리테일,1435845970606
128940,한미약품,1393832331743
012450,한화에어로스페이스,3881087002288
010620,현대미포조선,3524887824000
011790,SKC,2764203086742
241560,두산밥캣,3147343997000
036460,한국가스공사,37771848691858
008770,호텔신라,2244199124207
028670,팬오션,4054723000000
064350,현대로템,3741448965000
002790,아모레G,1760509302924
003410,쌍용C&E,2967127978072
112610,씨에스윈드,464649299633
007070,GS리테일,3911090431721
139480,이마트,14138571723681
047050,포스코인터내셔널,8773243815000
030000,제일기획,1220020596187
023530,롯데쇼핑,21862436550295
001040,CJ,2811945238000
006040,동원산업,1485490629554
180640,한진칼,2007816384179
020150,일진머티리얼즈,597174000000
012750,에스원,1645982512989
006260,LS,2315648000000
000120,CJ대한통운,5841442238903
004170,신세계,6089701362722
004370,농심,2406700248918
014680,한솔케미칼,584197933964
052690,한전기술,771479986995
008930,한미사이언스,608792181387
026960,동서,1394425635680
042660,대우조선해양,11736775669527
081660,휠라홀딩스,693451093733
111770,영원무역,1642606886683
079550,LIG넥스원,2322091224454
000080,하이트진로,3316699690626
000880,한화,7778277000000
001440,대한전선,1170830602000
002380,KCC,8659579067375
007310,오뚜기,1654457431171
010060,OCI,4757819272000
069620,대웅제약,1076308745882
204320,HL만도,2714015574758
006360,GS건설,11072844410033
000990,DB하이텍,1050696487076
047040,대우건설,8137774312481
010120,LS ELECTRIC,2211787821987
005300,롯데칠성,3201757366971
006280,녹십자,1580579529161
042670,현대두산인프라코어,4923150683796
298050,효성첨단소재,1208394382885
298020,효성티앤씨,1349985211630
051600,한전KPS,1275365058392
000150,두산,4734223086327
000240,한국앤컴퍼니,2307991836462
001120,LX인터내셔널,2697222673348
069960,현대백화점,5313725929000
004800,효성,2120867773868
011210,현대위아,6079797758112
004000,롯데정밀화학,1597498059498
000210,DL,10067944979293
003090,대웅,344459713744
114090,GKL,765845304290
285130,SK케미칼,1578243617337
014820,동원시스템즈,742148571921
000670,영풍,2282487711989
001230,동국제강,5743707793953
005850,에스엘,949475606347
006650,대한유화,1889794419530
009240,한샘,885411929443
017800,현대엘리베이,1801574882687
280360,롯데제과,2239784221834
020560,아시아나항공,6925047797289
032350,롯데관광개발,503143004826
093370,후성,377192701196
120110,코오롱인더,4183163022979
019170,신풍제약,384223618771
001740,SK네트웍스,6878643000000
001800,오리온홀딩스,1915627521178
009420,한올바이오파마,162246981025
010780,아이에스동서,1950617969308
031430,신세계인터내셔날,874767939016
192080,더블유게임즈,540130693049
103140,풍산,2393669212149
161890,한국콜마,881678589572
178920,PI첨단소재,372365385062
185750,종근당,698149449059
039130,하나투어,472705908486
001680,대상,1830365152226
003240,태광산업,3215064260014
005250,녹십자홀딩스,993043940967
300720,한일시멘트,1368001170546
069260,TKG휴켐스,843448207830
073240,금호타이어,2977573413297
192820,코스맥스,613713020305
016380,KG스틸,2108622028963
003850,보령,451316773652
004490,세방전지,1252080070783
005440,현대그린푸드,1642342150000
013890,지누스,320613133234
020000,한섬,1151895016153
105630,한세실업,850886853729
241590,화승엔터프라이즈,225504883821
284740,쿠쿠홈시스,492812169358
294870,HDC현대산업개발,4852055260385
057050,현대홈쇼핑,1742871716747
