종목코드,종목명,자산
005930,삼성전자,229664427000000
000660,SK하이닉스,64071005000000
051910,LG화학,25850150000000
207940,삼성바이오로직스,4367217698635
068270,셀트리온,4781125289232
035420,NAVER,8823550533747
006400,삼성SDI,15284961777810
005380,현대차,78252289000000
035720,카카오,7345506484784
028260,삼성물산,44441591860769
051900,LG생활건강,4560931341806
000270,기아차,41591553000000
012330,현대모비스,31241433000000
005490,POSCO,56794968501529
066570,LG전자,29699987000000
036570,엔씨소프트,3972964830906
017670,SK텔레콤,31986451000000
015760,한국전력,113103476000000
096770,SK이노베이션,17727434534000
034730,SK,23592397000000
003550,LG,10570840000000
018260,삼성에스디에스,6510160918685
326030,SK바이오팜,460124971119
090430,아모레퍼시픽,4897611155285
033780,KT&G,9879543643434
251270,넷마블,6514109532767
011170,롯데케미칼,15176140842307
018880,한온시스템,4814754096054
010950,S-Oil,15671847000000
009540,한국조선해양,10898783668000
010130,고려아연,7515657794946
009830,한화솔루션,10626414632302
086280,현대글로비스,9140431872200
019170,신풍제약,489598012225
034220,LG디스플레이,26705202000000
030200,KT,28027926000000
003670,포스코케미칼,1994121914672
097950,CJ제일제당,9538798386000
352820,빅히트,1712946387000
021240,코웨이,2711140027695
032640,LG유플러스,17253980000000
004020,현대제철,32452360725557
000100,유한양행,2139879593802
035250,강원랜드,3635973900214
034020,두산중공업,11147216159043
008930,한미사이언스,607103608033
271560,오리온,1206951233112
161390,한국타이어앤테크놀로지,6429887711436
003490,대한항공,24747289887180
285130,SK케미칼,1744584815929
006280,녹십자,1862558928914
002790,아모레G,2001905919277
267250,현대중공업지주,7727859034000
011200,HMM,8628337000000
010140,삼성중공업,12680358683476
011070,LG이노텍,5492250317155
128940,한미약품,1502397758044
011780,금호석유,3451429757234
000720,현대건설,11905200000000
180640,한진칼,3021178321935
139480,이마트,15577108437261
000120,CJ대한통운,7220688411413
004990,롯데지주,7936177329266
011790,SKC,3042148110955
336260,두산퓨얼셀,790187905982
078930,GS,5956881000000
003410,쌍용양회,2923926636008
026960,동서,1503228152495
012750,에스원,1849485638384
008770,호텔신라,2441131786932
112610,씨에스윈드,488730153543
000210,대림산업,10168014711584
003090,대웅,371342388623
006360,GS건설,11871047259267
241560,두산밥캣,3222947391000
042660,대우조선해양,10153130187339
023530,롯데쇼핑,24924204973925
204320,만도,3166718893056
036460,한국가스공사,34147454348333
001040,CJ,3185473458000
007070,GS리테일,5609125810845
081660,휠라홀딩스,662624270644
028670,팬오션,4542736000000
028050,삼성엔지니어링,3827134159080
004170,신세계,7535083633686
185750,종근당,923716370018
030000,제일기획,1252632182290
047810,한국항공우주,5114001345393
000080,하이트진로,3101028155802
000990,DB하이텍,1179256935861
006260,LS,3619489000000
282330,BGF리테일,2308304393984
014680,한솔케미칼,797304138527
020150,일진머티리얼즈,681617000000
010060,OCI,3368975278000
047040,대우건설,8399269136848
007310,오뚜기,1905811761458
005250,녹십자홀딩스,1080663926731
009420,한올바이오파마,219860324499
010120,LS ELECTRIC,2351256992297
272210,한화시스템,2702028308820
064350,현대로템,4074603645000
069620,대웅제약,1186735400474
010620,현대미포조선,3553619018000
002380,KCC,8765319461289
003000,부광약품,401274059294
004370,농심,2494167663833
294870,HDC현대산업개발,6133753525604
047050,포스코인터내셔널,7205950900000
069960,현대백화점,6435678005000
042670,두산인프라코어,5180809558545
004800,효성,2656659950882
006650,대한유화,1974315816826
017800,현대엘리베이,1984026037531
013890,지누스,553225335604
010780,아이에스동서,3141484961146
000240,한국테크놀로지그룹,2314696055320
003520,영진약품,188100729627
004000,롯데정밀화학,1719917537413
111770,영원무역,1797289419327
012450,한화에어로스페이스,4641446967860
051600,한전KPS,1345856502080
011210,현대위아,5782155000000
001740,SK네트웍스,5855439000000
006120,SK디스커버리,1213510965516
007570,일양약품,342300350004
214320,이노션,930503172045
016380,KG동부제철,2226734063652
031430,신세계인터내셔날,1059874930037
161890,한국콜마,1081269438257
007700,F&F,840750685556
000670,영풍,2339877606545
001120,LG상사,2610761219249
004490,세방전지,1336484561550
005300,롯데칠성,3383324199994
032350,롯데관광개발,1205546066719
057050,현대홈쇼핑,1851770065105
192820,코스맥스,739510630408
073240,금호타이어,2567316575773
093370,후성,415080175954
114090,GKL,706280226689
120110,코오롱인더,3848250337556
192080,더블유게임즈,742191677063
069260,휴켐스,846390679415
000150,두산,5413828678217
001680,대상,2329225495715
001800,오리온홀딩스,1926893842398
003240,태광산업,3511193089462
003850,보령제약,643556511131
284740,쿠쿠홈시스,623793867149
014820,동원시스템즈,835642670810
020560,아시아나항공,12370011442153
079160,CJ CGV,2477648886561
103140,풍산,2285966962966
241590,화승엔터프라이즈,388610384119
005440,현대그린푸드,1760240732000
000070,삼양홀딩스,1709357000000
192400,쿠쿠홀딩스,602357818928
001230,동국제강,5249538203557
003230,삼양식품,516181894152
005610,SPC삼립,945638158220
012630,HDC,2108790886982
018250,애경산업,431492661769
020000,한섬,1436575223008
049770,동원F&B,1237519545349
052690,한전기술,699243765524
064960,S&T모티브,1075806482525
071840,롯데하이마트,3349190376151
079550,LIG넥스원,2592840147140
105630,한세실업,865508205166
108670,LG하우시스,2023506000000
145990,삼양사,1998094000000
001060,JW중외제약,536924131926
002350,넥센타이어,2681863927914
005180,빙그레,713759535241
115390,락앤락,645506635958
008350,남선알미늄,276931596421
009410,태영건설,2682875572935
006390,한일현대시멘트,562929272004
