종목코드,종목명,자산
005930,삼성전자,296857289000000
000660,SK하이닉스,92949387000000
005380,현대차,85064635000000
005490,POSCO,51646197639495
035420,NAVER,15479991448695
012330,현대모비스,35577102000000
207940,삼성바이오로직스,11831260604556
015760,한국전력,138838342000000
028260,삼성물산,47037554332882
017670,SK텔레콤,24995932000000
034730,SK,28638916000000
096770,SK이노베이션,21362774685000
051900,LG생활건강,5057410286789
090430,아모레퍼시픽,5374183609328
066570,LG전자,31747553000000
251270,넷마블게임즈,6767919599280
033780,KT&G,10373921000000
003550,LG,10000583000000
018260,삼성에스디에스,7660443042755
006400,삼성SDI,19529981403920
000270,기아차,51988692000000
010950,S-Oil,21498548000000
011170,롯데케미칼,21153038417522
002790,아모레G,2136105111794
034220,LG디스플레이,29732412000000
036570,엔씨소프트,4302844289114
010130,고려아연,10177695792583
035720,카카오,11354868024171
030200,KT,30308919000000
004020,현대제철,32449677080119
035250,강원랜드,4431068820646
009150,삼성전기,8289077949508
018880,한온시스템,6883023078977
021240,코웨이,3641097349465
008930,한미사이언스,760909916413
161390,한국타이어,6568577083614
128940,한미약품,1330469212136
267250,현대로보틱스,9122273971000
032640,LG유플러스,19045211000000
009540,현대중공업,11774249959000
078930,GS,6934380000000
023530,롯데쇼핑,23439306045216
001040,CJ,3262586718000
009830,한화케미칼,16329364049145
086280,현대글로비스,11999839817921
004800,효성,2896706693950
004990,롯데지주,9340976991516
097950,CJ제일제당,11432692043000
047810,한국항공우주,7070895351884
271560,오리온,1334301240259
009240,한샘,891219649846
002380,KCC,9657272504383
012750,에스원,2088711174000
000720,현대건설,14948565000000
036460,한국가스공사,53823702606189
282330,BGF리테일,3125008335960
011070,LG이노텍,9964207000000
008770,호텔신라,2344626202217
000120,CJ대한통운,7497402924969
010060,OCI,2257456859000
003490,대한항공,29227147764363
000880,한화,10506541000000
011780,금호석유,4433757827248
007070,GS리테일,8218723236460
004170,신세계,8606939800934
204320,만도,3808960032435
026960,동서,1673818520271
012630,현대산업,2448602662579
007310,오뚜기,2489488900266
028670,팬오션,7742918000000
010140,삼성중공업,15891978740496
006280,녹십자,2101339205597
047040,대우건설,9414343067699
000100,유한양행,2403089636772
006260,LS,5847121000000
069960,현대백화점,7712162871000
030000,제일기획,1311099466720
028050,삼성엔지니어링,5111061616312
000150,두산,4914617739537
120110,코오롱인더,4664926017287
047050,포스코대우,12565027402000
006360,GS건설,13372598064756
004370,농심,2838340424663
000670,영풍,2379090809251
069620,대웅제약,1565747391748
000240,한국타이어월드와이드,3119698218523
003410,쌍용양회,3213976476743
005250,녹십자홀딩스,1113742029909
006120,SK케미칼,1752488231717
011210,현대위아,5272768000000
114090,GKL,633433689706
020150,일진머티리얼즈,775256224711
042670,두산인프라코어,3855346312643
051600,한전KPS,1585379918377
000080,하이트진로,3106932328741
001740,SK네트웍스,4643837000000
001800,오리온홀딩스,2008816317924
192400,쿠쿠전자,642323253837
006650,대한유화,2024621274261
034020,두산중공업,13684508993950
161890,한국콜마,1229372339390
004000,롯데정밀화학,2472137027957
003520,영진약품,226600824188
010620,현대미포조선,4932725433000
115390,락앤락,527817883883
079160,CJ CGV,1961705009637
064350,현대로템,5152962653000
003240,태광산업,3724818178407
005440,현대그린푸드,1539739859000
005610,SPC삼립,943407733259
214320,이노션,1171409423533
057050,현대홈쇼핑,1850544594948
103140,풍산,3316201803541
111770,영원무역,2414286129794
017800,현대엘리베이,2566964506000
009420,한올바이오파마,240011770156
185750,종근당,1376782373113
079550,LIG넥스원,3805078110805
014820,동원시스템즈,1460417702692
001120,LG상사,3976286037129
001230,동국제강,699024308328
002350,넥센타이어,3322085324064
003000,부광약품,460536039339
192820,코스맥스,1012618989648
005300,롯데칠성,3479194402747
010780,아이에스동서,3644293803741
105630,한세실업,1032290884115
003300,한일시멘트,881370096152
000070,삼양홀딩스,2440021085347
001430,세아베스틸,1750553909175
001680,대상,2989860202340
069260,휴켐스,1093218618470
093050,LF,1954781919819
093370,후성,495487194243
052690,한전기술,854703600938
000640,동아쏘시오홀딩스,985642051167
001060,JW중외제약,620504110960
005850,에스엘,2150029621652
006840,AK홀딩스,964383310727
170900,동아에스티,1222916105953
020000,한섬,1729631053601
049770,동원F&B,1475247612307
108670,LG하우시스,1968051000000
014680,한솔케미칼,1077564156542
003620,쌍용차,2586314271403
007570,일양약품,356660993731
019680,대교,525995573408
025540,한국단자,1158927227467
079430,현대리바트,891615379488
060980,한라홀딩스,2023604129405
064960,S&T모티브,1206009871022
073240,금호타이어,2842552402945
029530,신도리코,1046071253564
000990,DB하이텍,1998099625642
002240,고려제강,1411809137589
002960,한국쉘석유,188371616567
003030,세아제강,824412189733
096760,JW홀딩스,404669262297
004490,세방전지,1557512386163
005180,빙그레,821815705303
025860,남해화학,782115341818
027410,BGF,1578500630385
033920,무학,629501791755
003920,남양유업,859768482161
000050,경방,1124299995393
001520,동양,1039736312218
003850,보령제약,894076283963
004710,한솔테크닉스,565935710409
097230,한진중공업,2885617000000
009290,광동제약,855317209339
014830,유니드,877100083319
034120,SBS,1176630559277
036580,팜스코,868274490927
008060,대덕전자,526393388041
078520,에이블씨엔씨,162553887760
