year_month,ticker,name,beta,mkt_cap,BEME,excess_return
2021-07,000020,동화약품,0.8477695407984489,409196035500.0,0.7352901023890785,-0.0643969302449414
2021-07,000040,KR모터스,0.7737584571795649,118729649480.0,0.2455006298061211,0.0076640986394558
2021-07,000050,경방,0.2084884923295636,372847672000.0,1.9889705882352944,-0.046113201754386
2021-07,000080,하이트진로,0.5997205411872722,2416102898950.0,0.4205515239477503,-0.0867060632183907
2021-07,000100,유한양행,0.9769858320113142,4310334274400.0,0.3595097371875423,-0.0242709574749075
2021-07,000120,CJ대한통운,0.6319749152665779,4014972544000.0,0.7451477272727273,-0.0061488841807909
2021-07,000150,두산,0.7318388205074868,1597854844500.0,0.7545915201654602,0.0099501541274816
2021-07,000210,대림산업,1.1458632210377253,1653419247600.0,3.2373894326981705,-0.0142491666666667
2021-07,000220,유유제약,0.81372326927057,163842150560.0,0.564405212724156,0.0036033974358973
2021-07,000240,한국테크놀로지그룹,1.1405122582195115,1704087558000.0,1.9252112170735067,-0.1184352846027845
2021-07,000270,기아차,1.4120802537802717,33888375809200.0,0.8551076555023923,-0.0674634523809523
2021-07,000300,대유플러스,1.1352166173967928,178473191650.0,0.6229491963646406,-0.1119449497991968
2021-07,000390,삼화페인트,0.8104771876145862,307399199700.0,0.9138336392845202,-0.1001007602921646
2021-07,000430,대원강업,0.9466302575311716,252340000000.0,1.9024570024570024,-0.041724137220259
2021-07,000480,조선내화,0.215158519085486,362400000000.0,1.6329139072847685,-0.00379949669967
2021-07,000490,대동공업,0.8429549152992611,295416214500.0,0.7244176706827309,0.0681703612303291
2021-07,000500,가온전선,0.8037646234879962,143115936800.0,1.7938372093023256,0.0340872994987469
2021-07,000520,삼일제약,0.5636892676344685,121904735580.0,0.5261247922391826,-0.0375754378531073
2021-07,000650,천일고속,0.3170896611982035,102617996000.0,0.4970194986072423,-0.0619370751633987
2021-07,000660,SK하이닉스,1.347522568367807,81900266062500.0,0.5852088888888889,-0.1181462254901961
2021-07,000670,영풍,0.5678270519720632,1261797400000.0,2.5808350364963504,0.0582334453889748
2021-07,000680,LS네트웍스,1.0363464678136678,324668425920.0,1.5995145631067962,-0.2431462254901961
2021-07,000720,현대건설,0.9653994951429096,6091160345500.0,1.092833638025594,-0.0622487378502
2021-07,000760,이화산업,0.3757751666534017,56420000000.0,1.8029280397022327,-0.0500274685534591
2021-07,000850,화천기공,0.4406617729329014,81510000000.0,3.639541160593792,-0.0648931060606061
2021-07,000860,강남제비스코,0.7169543277329743,205725000000.0,2.559842022116904,0.0492520771144278
2021-07,000880,한화,1.1631613585457006,2237518239750.0,1.5141708542713568,-0.060341686351706
2021-07,000890,보해양조,0.5784291323872516,155252086165.0,0.5212835064192839,-0.0701712978142076
2021-07,000910,유니온,0.4631093438950242,120677814870.0,0.8221216041397154,-0.0473549003288121
2021-07,000950,전방,0.3765109950280167,67536000000.0,1.250820895522388,0.0057586556111806
2021-07,000970,한국주철관,0.6278796700410753,232565100000.0,1.1587254901960784,0.0205218543543544
2021-07,000990,DB하이텍,1.0653745358218476,2708313868000.0,0.2374262295081967,-0.0229350641025641
2021-07,001020,페이퍼코리아,1.0771512387843667,82699509270.0,0.1867687728299865,-0.097406383161512
2021-07,001040,CJ,0.9477866801615952,2859345804000.0,1.2902857142857145,-0.0846113161993769
2021-07,001060,JW중외제약,0.7980917388961967,622503861400.0,0.3380458118167104,-0.0355575973845297
2021-07,001070,대한방직,0.1404970594726868,233200000000.0,0.5430227272727273,-0.007271175696012
2021-07,001080,만호제강,1.0196940809467403,93790000000.0,2.476814159292035,-0.0114400857038657
2021-07,001120,LG상사,0.9175416880490972,1197684000000.0,0.9781229773462784,-0.0101145512820512
2021-07,001130,대한제분,0.5816843608823058,296595000000.0,2.561903133903134,-0.0281999976915973
2021-07,001140,국보,0.3385103852259448,89155689860.0,0.7382456609146807,0.031302953474676
2021-07,001210,금호전기,0.6111987335389969,45367965255.0,0.8181913857357542,-0.1554071421267893
2021-07,001230,동국제강,1.4486850453493625,2027945661250.0,0.9120941176470588,-0.0432919594594594
2021-07,001250,GS글로벌,0.9808368918230372,223666500440.0,1.6055350553505534,-0.109051798245614
2021-07,001260,남광토건,1.1774056373276824,160702531350.0,0.3289908256880734,-0.0214572504990019
2021-07,001340,백광산업,1.005408521182686,314428849000.0,0.5322857142857143,0.0489760957021488
2021-07,001360,삼성제약,1.2932702017113429,489611555910.0,0.3043470959259614,-0.1644899923547401
2021-07,001380,SG충방,1.0688156989986424,139388843300.0,0.9332258064516128,-0.1649196518418688
2021-07,001390,KG케미칼,1.2883641760369455,533151391200.0,0.6397372610288332,-0.0171232075873827
2021-07,001420,태원물산,0.5374411267935018,39900000000.0,0.807047619047619,-0.1440554472539423
2021-07,001430,세아베스틸,1.004142438609526,1126070536600.0,1.6405095541401271,-0.009962889064143
2021-07,001440,대한전선,0.8830689778508979,2222547458355.0,0.1329479768786127,-0.1552222937024972
2021-07,001450,현대해상,0.4825297074047142,2319930000000.0,1.944200385356455,0.0171478921568626
2021-07,001460,BYC,0.4213671896813943,247347540000.0,1.3057550505050506,-0.060997387307236
2021-07,001470,삼부토건,0.6769915056560424,475910433280.0,0.4424855491329479,0.0996598158452571
2021-07,001520,동양,0.6427823538921767,483335227575.0,1.6928395061728394,-0.0924274177877429
2021-07,001530,DI동일,1.2414545347161292,759473137500.0,0.6361950723833205,0.5389410368956742
2021-07,001550,조비,0.6109229861109313,170565051150.0,0.2811872146118721,0.3430591155419223
