date,mkt_cap_kospi,daily_return_kospi,lag_mkt_cap_kospi,daily_return_kosdaq,lag_mkt_cap_kosdaq,weighted_market_return
2022-05-09,2055162928601455,-0.01274338157163346,2081320428498685.0,-0.026441383366130555,392854739216552.0,-0.014918379119496806
2022-05-10,2043673172912281,-0.0054580762292162355,2055162928601455.0,-0.005459783467311019,382539249222543.0,-0.005458344139539721
2022-05-11,2040258394405099,-0.0016521859691284169,2043673172912281.0,0.011913939308991539,380482533057701.0,0.0004770806026868778
2022-05-12,2007195727129313,-0.01627531082796163,2040258394405099.0,-0.037721910566290484,385206699350948.0,-0.01968140969071999
2022-05-13,2049292684237125,0.021238549378842952,2007195727129313.0,0.023294868411582792,371074971272180.0,0.021559391125963345
2022-05-16,2043528753449264,-0.0029413571713819975,2049292684237125.0,0.0037159469217422636,379686572400489.0,-0.0019007188186094322
2022-05-17,2062679874226357,0.009189010159517563,2043528753449264.0,0.01136350364963512,381318247461824.0,0.009530959175870853
2022-05-18,2067575121982239,0.002114148768908919,2062679874226357.0,0.006455114436823006,385619997756693.0,0.0027978734998043426
2022-05-19,2041376481460926,-0.012810455525175346,2067575121982239.0,-0.008914946590635409,387421014258818.0,-0.012195708316332668
2022-05-20,2077558135734500,0.018111050248038385,2041376481460926.0,0.018615420236165914,383985320542863.0,0.018190902528800516
2022-05-23,2083210177353741,0.0030652182973451847,2077558135734500.0,0.004216484066009052,391352318955396.0,0.003247707916377221
2022-05-24,2050778684655991,-0.015679653090980628,2083210177353741.0,-0.02095994748695662,392992007570250.0,-0.016517675732213473
2022-05-25,2059889815729458,0.004355551121122625,2050778684655991.0,0.008808535725432609,384756657072360.0,0.005059016778546902
2022-05-26,2056303508275262,-0.0018225445319842715,2059889815729458.0,-0.00144381166278984,388008200267247.0,-0.0017625128403051767
2022-05-27,2076115880771690,0.009799230607284493,2056303508275262.0,0.0029147493200831764,387316345043233.0,0.00870803300301875
2022-05-30,2101290667111063,0.011982335437159986,2076115880771690.0,0.014268224309758937,388509325333349.0,0.012342669796104532
2022-05-31,2113784328537123,0.006083171639834406,2101290667111063.0,0.00780650692658269,394013364305123.0,0.006355289636522792
2022-06-02,2092789270563649,-0.01001898804869883,2113784328537123.0,-0.0024850004477479093,395862738788720.0,-0.00883060383143492
2022-06-03,2101703361724826,0.004385123674778946,2092789270563649.0,0.0004151985097740063,394538694279141.0,0.0037554161681189026
2022-06-07,2067165430942135,-0.016591466496920226,2101703361724826.0,-0.019887606420567416,394581900681347.0,-0.01711247952999431
2022-06-08,2066742737105469,-7.234402248001981e-05,2067165430942135.0,0.00133900981940549,386405375187817.0,0.00014992578503237564
2022-06-09,2066451297057888,-0.000270357748034189,2066742737105469.0,0.0025487170695466244,386754986841134.0,0.0001740246670527257
2022-06-10,2043213222024130,-0.011262874032543224,2066451297057888.0,-0.008344923504867818,387105516641743.0,-0.010802499632307666
2022-06-13,1972203677735303,-0.035194366435915336,2043213222024130.0,-0.04723748649207926,383891942482134.0,-0.03709921045319005
2022-06-14,1962993357171067,-0.004607687731332799,1972203677735303.0,-0.006262292312704254,366175792145623.0,-0.004866788596301615
2022-06-15,1926857817400711,-0.018287424236954175,1962993357171067.0,-0.029347482940333736,364060219653604.0,-0.02001773566640928
2022-06-16,1931070977616452,0.0016466588760224443,1926857817400711.0,0.0034275278017537048,353596002548904.0,0.001922791691207471
2022-06-17,1921148559919856,-0.004275090662108738,1931070977616452.0,-0.004313407716761142,354964982043771.0,-0.004281040355314212
2022-06-20,1881482847958622,-0.020443027862330987,1921148559919856.0,-0.03602148518198567,354177656894905.0,-0.022867973116658783
2022-06-21,1894965517033471,0.007486313429776903,1881482847958622.0,0.010884247714048279,341761949864394.0,0.008008651162284264
2022-06-22,1843888861974790,-0.027447871046481165,1894965517033471.0,-0.04026724913272506,345680333395747.0,-0.029425607461153764
2022-06-23,1821183820152396,-0.012160610548870743,1843888861974790.0,-0.04361679340259195,332276497249083.0,-0.016963623431673402
