month,ticker,name,lstg_st_cnt,mkt_cap
2020-01,000020,동화약품,27931470,220937927700
2020-02,000020,동화약품,27931470,190771940100
2020-03,000020,동화약품,27931470,182951128500
2020-04,000020,동화약품,27931470,314229037500
2020-05,000020,동화약품,27931470,322608478500
2020-06,000020,동화약품,27931470,453886387500
2020-07,000020,동화약품,27931470,681527868000
2020-08,000020,동화약품,27931470,654992971500
2020-09,000020,동화약품,27931470,610302619500
2020-10,000020,동화약품,27931470,499973313000
2020-11,000020,동화약품,27931470,534887650500
2020-12,000020,동화약품,27931470,548853385500
2021-01,000020,동화약품,27931470,420368623500
2021-02,000020,동화약품,27931470,405006315000
2021-03,000020,동화약품,27931470,398023447500
2021-04,000020,동화약품,27931470,428748064500
2021-05,000020,동화약품,27931470,409196035500
2021-06,000020,동화약품,27931470,437127505500
2021-07,000020,동화약품,27931470,409196035500
2021-08,000020,동화약품,27931470,414782329500
2021-09,000020,동화약품,27931470,498576739500
2021-10,000020,동화약품,27931470,456679534500
2021-11,000020,동화약품,27931470,424558344000
2021-12,000020,동화약품,27931470,407799462000
2022-01,000020,동화약품,27931470,326798199000
2022-02,000020,동화약품,27931470,353333095500
2022-03,000020,동화약품,27931470,381264565500
2022-04,000020,동화약품,27931470,354729669000
2022-05,000020,동화약품,27931470,332384493000
2022-06,000020,동화약품,27931470,270655944300
2022-07,000020,동화약품,27931470,294677008500
2022-08,000020,동화약품,27931470,280711273500
2022-09,000020,동화약품,27931470,230713942200
2022-10,000020,동화약품,27931470,252221174100
2022-11,000020,동화약품,27931470,251941859400
2022-12,000020,동화약품,27931470,258645412200
2023-01,000020,동화약품,27931470,261997188600
2023-02,000020,동화약품,27931470,251941859400
2023-03,000020,동화약품,27931470,232110515700
2023-04,000020,동화약품,27931470,234065718600
2023-05,000020,동화약품,27931470,268142112000
2023-06,000020,동화약품,27931470,290207973300
2023-07,000020,동화약품,27931470,278197441200
2023-08,000020,동화약품,27931470,279035385300
2023-09,000020,동화약품,27931470,273728406000
2023-10,000020,동화약품,27931470,270655944300
2023-11,000020,동화약품,27931470,265628279700
2023-12,000020,동화약품,27931470,286856196900
2024-01,000020,동화약품,27931470,269538685500
2024-02,000020,동화약품,27931470,271493888400
2024-03,000020,동화약품,27931470,262555818000
2024-04,000020,동화약품,27931470,243562418400
2024-05,000020,동화약품,27931470,231272571600
2024-06,000020,동화약품,27931470,225127648200
2024-07,000020,동화약품,27931470,232948459800
2024-08,000020,동화약품,27931470,225406962900
2024-09,000020,동화약품,27931470,216748207200
2024-10,000020,동화약품,27931470,210044654400
2024-11,000020,동화약품,27931470,184627016700
2024-12,000020,동화약품,27931470,175968261000
2025-01,000020,동화약품,27931470,170102652300
2025-02,000020,동화약품,27931470,173454428700
2025-03,000020,동화약품,27931470,167309505300
2025-04,000020,동화약품,27931470,175409631600
2025-05,000020,동화약품,27931470,184347702000
2025-06,000020,동화약품,27931470,188258107800
2025-07,000020,동화약품,27931470,187420163700
2025-08,000020,동화약품,27931470,174013058100
2025-09,000020,동화약품,27931470,177644149200
2025-10,000020,동화약품,27931470,174851002200
2025-11,000020,동화약품,27931470,175130316900
2025-12,000020,동화약품,27931470,174571687500
2020-01,000040,KR모터스,189444075,45845466150
2020-02,000040,KR모터스,47361018,30121607448
2020-03,000040,KR모터스,47361018,28369249782
2020-04,000040,KR모터스,47361018,37888814400
2020-05,000040,KR모터스,91661018,65354305834
2020-06,000040,KR모터스,91661018,61229560024
2020-07,000040,KR모터스,91661018,65262644816
2020-08,000040,KR모터스,91661018,64621017690
2020-09,000040,KR모터스,91661018,70304000806
2020-10,000040,KR모터스,91661018,86619662010
2020-11,000040,KR모터스,91661018,126492204840
2020-12,000040,KR모터스,91661018,104035255430
2021-01,000040,KR모터스,96137368,86331356464
2021-02,000040,KR모터스,96137368,118729649480
2021-03,000040,KR모터스,96137368,126420638920
2021-04,000040,KR모터스,96137368,119691023160
2021-05,000040,KR모터스,96137368,112480720560
2021-06,000040,KR모터스,96137368,117768275800
2021-07,000040,KR모터스,96137368,118729649480
2021-08,000040,KR모터스,96137368,108154539000
2021-09,000040,KR모터스,96137368,97579428520
2021-10,000040,KR모터스,96137368,99502175880
2021-11,000040,KR모터스,96137368,79794015440
2021-12,000040,KR모터스,96137368,83158823320
2022-01,000040,KR모터스,96137368,73448949152
2022-02,000040,KR모터스,96137368,75371696512
2022-03,000040,KR모터스,96137368,85466120152
2022-04,000040,KR모터스,96137368,79121053864
2022-05,000040,KR모터스,96137631,73929838239
2022-06,000040,KR모터스,96137631,59509193589
2022-07,000040,KR모터스,96138465,69988802520
2022-08,000040,KR모터스,96138465,66431679315
2022-09,000040,KR모터스,96138465,61336340670
2022-10,000040,KR모터스,96138465,53741401935
2022-11,000040,KR모터스,96138465,56913971280
2022-12,000040,KR모터스,96138465,53837540400
2023-01,000040,KR모터스,96138465,51049524915
2023-02,000040,KR모터스,96138465,49222894080
2023-03,000040,KR모터스,96138465,48453786360
2023-04,000040,KR모터스,96138465,64412771550
2023-05,000040,KR모터스,96138465,64412771550
2023-06,000040,KR모터스,96138465,56913971280
2023-07,000040,KR모터스,96138465,48838340220
2023-08,000040,KR모터스,96138465,46819432455
2023-09,000040,KR모터스,96138465,82006110645
2023-10,000040,KR모터스,96138465,49511309475
2023-11,000040,KR모터스,96138465,48838340220
2023-12,000040,KR모터스,96138465,34417570470
2024-01,000040,KR모터스,96138465,31437278055
2024-02,000040,KR모터스,96138465,44704386225
2024-03,000040,KR모터스,29132868,29861189700
2024-04,000040,KR모터스,29132868,29977721172
2024-05,000040,KR모터스,60132868,41912608996
2024-06,000040,KR모터스,60132868,39326895672
2024-07,000040,KR모터스,60132868,35478392120
2024-08,000040,KR모터스,60132868,35779056460
2024-09,000040,KR모터스,60132868,33674406080
2024-10,000040,KR모터스,60132868,31509622832
2024-11,000040,KR모터스,60132868,26759126260
2024-12,000040,KR모터스,60132868,27300322072
2025-01,000040,KR모터스,60132868,25436203164
2025-02,000040,KR모터스,60132868,24534210144
2025-03,000040,KR모터스,60132868,22549825500
2025-04,000040,KR모터스,60132868,27059790600
2025-05,000040,KR모터스,60132868,26278063316
2025-06,000040,KR모터스,60132868,24474077276
2025-07,000040,KR모터스,60132868,36801315216
2025-08,000040,KR모터스,60132868,33313608872
2025-09,000040,KR모터스,86375184,47506351200
2025-10,000040,KR모터스,86375184,42842091264
2025-11,000040,KR모터스,86375184,41719213872
2025-12,000040,KR모터스,86375184,38955207984
2020-01,000050,경방,27415270,250027262400
